source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-24T09:32:52
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|J Baez; J Rodriguez; O Cruz; M Moniak; R O'Hearn(I)|B Stott|J Luzardo; M Gore; R Suarez; M Montgomery; J Hader; H Brown; J Soriano; J Latz; A Nola; C Beeter(R); J Romano(R); T Santillan(I); N Eovaldi(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|B Reynolds; J Altuve; S Suzuki; R Arozarena|S Ohtani (Batter)|A Ashby; S Manaea; C Holmes; T Bibee; B Joyce; N Martinez; Y Yamamoto; C Rodon; K Jansen; K Gausman(R); M Fried(I); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; M Dubon; G Springer; J Hoo Lee|D Baldwin; J.P. Crawford(I)|A Morejon; D Lee; J Misiorowski; C Mize; T Skubal; B Singer; C Smith; S Baz; M Boyd; B Brown(I); G Whitlock(I); J Ryan(I); J Leiter(I); S Smith(M); B King(M)
Guillotine|G Moreno|J Caglianone|J Caballero; S Antonacci(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; C Smith; J Marsee; J Duran; H Ramos(R)|B Montgomery|N McLean; K Senga; J Bennett; L Gilbert; N Lodolo; J Hoffman; D Rasmussen; C Cavalli; B Garcia; M Meyer(I); C Early(I); R Suarez(I); D Williams(I); A Uribe(I); C Ponce(I); J Steele(I); R Pepiot(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|W Abreu; C Rafaela; B Buxton; J Merrill; C Simpson(R)|L Butler; K Marte(I)|L Roupp; R Sasaki; B Baker; M Liberatore; R Detmers; S Bieber; B Ashcraft; D Bednar; J Cantillo; B Miller(R); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|S Jones; M Clark; J Adell; H Hernandez; A Barger(I); J Soto(I)|Y Alvarez|D Cease; K Harrison; J Jobe; B Pfaadt; I Seymour; G Taylor; M Miller; Y Gomez; C Sanchez; F Peralta(R); P Lambert(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|X Bogaerts; T Story(I); C Pratt(I)|N Arenado; S Torkelson(R)|B Marsh; M Harris II; J.J. Bleday; J Bauers; J Wood(I)|M McLain|T Bradley; H Harris; B Elder; G Williams; T Wells; K Leahy; T Scott; M King; C Burns; M McGreevy(R); G Crochet(I); R Helsley(I); R Nelson(I); T Yesavage(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I)|R Flores; V Guerrero Jr.(I)|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; A Pages; J Mangum; E Valdez; B Rooker(I)|T Tawa; G Stanton(I); K Karros(I)|C Scott; S Drohan; R Ray; R Iglesias; A Munoz; M Bratt; B Young; S Alcantara; S Burke; H Wesneski(R); R O'Brien(R); K Bubic(I); T Glasnow(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C DeLauter; W Langford; C Benge; C Bellinger; D Lile(R)|K Schwarber|K Bradish; C Schlittler; L Varland; E Hancock; J Duran; T Rogers; J Lopez; Z Thornton; A Abbott; H Greene(I); E Uceta(I); C Estevez(I); M Abel(I)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|G Conine; S Kwan; D Canzone; C Carroll; A Judge(I)|Y Diaz|S Gray; T Mahle; E Miller; W Urena; L Henderson; T Melton; A Chapman; E Perez; D May; J deGrom(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|J McCarthy; T Hernandez; J Walker; T Grisham|K Stowers; C Yelich(R); J Tibbs(M)|C Sale; S Cruz; E Pagan; K Montero; E Rodriguez; M Wacha; J.T. Ginn; R Garcia; B Headrick; B Woo(R); M Soroka(I); J Musgrove(I); A Pallante(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|P Crow-Armstrong; R Acuna Jr.; L Robert; M Trout; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|L Webb; R Weathers; T Megill; G Kirby; N Cameron; C Prielipp; P Messick; F Valdez; S Natera Jr.; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; Z Veen; A.J. Ewing; I Happ; R Greene(I); R Anthony(I)|D Varsho|S Imanaga; G Cole; Z Wheeler; P Skenes; J Webb; P Fairbanks; P Tolle; F Griffin; B Snell; G Jump(R); B Woodruff(I); S McClanahan(I); N Pivetta(I); J Wrobleski(M)
