source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-10T07:08:29
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|X Bogaerts|B Eldridge|O Cruz; J Baez; A Burleson; J Rodriguez; J Cox(R); R O'Hearn(I)|N Hoerner|H Brown; A Nola; C Quantrill; J Hader; J Soriano; M Gore; W Buehler; R Suarez; J Luzardo; M Montgomery(R); N Eovaldi(I)
Dawg|D Dingler|M Murakami; W Contreras(I)|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|H Yu Lee|B Reynolds; S Suzuki; J Altuve; R Arozarena|S Ohtani (Batter)|K Gausman; A Ashby; N Martinez; C Rodon; K Jansen; T Bibee; Y Yamamoto; C Holmes; M Fried; Y Kikuchi(R); E Diaz(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; M Dubon; G Springer; B Nimmo|D Baldwin|G Whitlock; T Skubal; D Lee; M Boyd; A Morejon; C Smith; J Misiorowski; J Ryan; C Mize; S Baz(R); B Brown(I); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Marsee; J Duran; C Smith; J Chourio; H Ramos(R)|B Montgomery|B Garcia; J Bennett; C Cavalli; D Rasmussen; L Gilbert; N McLean; J Hoffman; K Senga; A Uribe; R Pepiot(I); J Steele(I); M Meyer(I); S Schwellenbach(I); R Suarez(I); D Williams(I); C Early(I); C Ponce(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|W Abreu; L Butler; M Moniak; J Merrill; C Simpson(R); C Rafaela(I)|K Marte; S Torkelson(R); B Buxton(I)|R Johnson; K Anderson; L Roupp; Q Mathews; D Bednar; J Cantillo; B Baker; R Detmers; B Ashcraft; E Cabrera(I); R Sasaki(I); S Bieber(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|S Jones; H Hernandez; J Adell; J Soto; M Clark(R); A Barger(I)|Y Alvarez|K Harrison; D Cease; I Seymour; F Peralta; G Taylor; M Miller; C Sanchez; Y Gomez; P Lambert; B Pfaadt(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|M McLain|Z Gelof|C.J. Abrams|C Pratt|J Bauers|J Wood; B Marsh; M Harris II; H Bolte|T Story; J Wetherholt(I)|M King; M McGreevy; T Scott; T Bradley; W Warren; G Williams; H Harris; J Latz; C Burns; E Alvarado(R); T Yesavage(I); G Crochet(I); R Nelson(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; J Mangum; K Tucker; E Valdez; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|S Burke; T Glasnow; A Munoz; C Scott; B Young; S Alcantara; R Ray; H Wesneski; R Iglesias; R O'Brien(R); S Drohan(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; C Benge; D Lile; C Bellinger; C DeLauter(R)|K Schwarber|C Schlittler; T Rogers; A Painter; J Duran; J Lopez; K Bradish; L Varland; G Rodriguez; Z Matthews; Z Thornton(R); C Estevez(I); M Abel(I); E Uceta(I); H Greene(I); E Hancock(I)
Runtime Terror|W Smith|P Alonso|K Clemens|P Ramirez|C Montgomery|N Sogard; D Swanson(I)|M Busch; J Jung(I)|C Carroll; D Canzone; S Kwan; A Judge|Y Diaz|S Gray; E Perez; T Melton; T Mahle; W Urena; L Henderson; A Chapman; J deGrom; L Gil; D May(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|J Walker; K Stowers; T Hernandez; J McCarthy|C Yelich; T Grisham(I); J Tibbs(M)|B Woo; M Wacha; E Pagan; K Montero; B Headrick; S Cruz; E Rodriguez; C Sale; R Garcia; J Musgrove(I); M Soroka(I); A Pallante(I); J.T. Ginn(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|R Acuna Jr.; P Crow-Armstrong; V Mesa Jr.; M Trout; L Robert(I)|V Pasquantino|S Arrighetti; M Perez; F Valdez; T Megill; N Cameron; G Kirby; P Messick; L Webb; S Lugo; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; W Castro(I); C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; R Anthony; R Greene; C Carrigg; W Jenkins(R)|T Rumfield|N Pivetta; Z Wheeler; G Cole; F Griffin; B Snell; P Tolle; S Imanaga; J Webb; P Skenes; G Jump(R); P Fairbanks(I); S McClanahan(I); B Woodruff(I)
