source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-24T07:02:21
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|Y Diaz|B Harper|B Lowe|J Caminero|X Bogaerts|C Montgomery|R O'Hearn|O Cruz; J Sanoja; A Burleson; J Rodriguez; J Baez(R)|S Taylor|H Brown; J Luzardo; C Ragans; J Jobe; C Burns; C Quantrill; W Buehler; L Roupp; D Peterson
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee|J Pena|C Seager|W Contreras|J Altuve; R Arozarena; S Suzuki; B Reynolds|S Ohtani (Batter); J De Paula(R)|K Jansen; C Rodon; Y Kikuchi; E Diaz; Y Yamamoto; K Gausman; N Martinez; M Fried; C Holmes; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; B Nimmo; J Hoo Lee; M Dubon|D Baldwin|C Mize; T Skubal; M Boyd; A Morejon; J Misiorowski; G Whitlock; J Ryan; C Smith; D Lee; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|C Mayo|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Marsee; J Chourio; J Caglianone; H Ramos|G Perdomo; B Montgomery(R)|N McLean; A Uribe; B Garcia; J Hoffman; L Gilbert; C Cavalli; K Senga; D Rasmussen; R Suarez; C Ponce(I); J Steele(I); C Early(I); D Williams(I); S Schwellenbach(I); M Meyer(I); R Pepiot(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; M Moniak; L Butler; W Abreu; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|B Baker; B Hudson; R Detmers; D Bednar; B Joyce; R Johnson; D Smith; K Anderson; J Morillo; R Sasaki(I); S Bieber(I); B Ashcraft(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|J Adell; S Jones; J Soto; H Hernandez; M Clark(R); A Barger(I)|Y Alvarez|D Cease; M Miller; F Peralta; I Seymour; C Sanchez; P Lambert; J Jones; G Taylor; Y Gomez; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|H Bolte; M Harris II; A.J. Ewing; J Wood|J Wetherholt; T Story(R)|M Gore; M McGreevy; G Williams; T Scott; W Warren; H Harris; M King; J Latz; T Bradley; E Alvarado(R); G Crochet(I); R Helsley(I); T Yesavage(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; T Tawa; K Tucker; E Valdez; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|R Ray; S Burke; C Scott; S Alcantara; R Iglesias; B Young; T Glasnow; H Wesneski; A Munoz; S Drohan(R); R O'Brien(R); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; C DeLauter; C Benge; C Bellinger; D Lile(R)|K Schwarber|Z Thornton; C Javier; L Varland; J Duran; G Rodriguez; Z Matthews; T Rogers; C Schlittler; A Painter; J Lopez(R); C Estevez(I); M Abel(I); K Bradish(I); E Hancock(I); H Greene(I); E Uceta(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|C Carroll; G Mitchell; S Kwan; D Canzone; A Judge(R)|Y Diaz|S Gray; E Perez; W Urena; S Manaea; A Abbott; J deGrom; L Henderson; M Soroka; T Mahle; C Dollander(I)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|M Garcia; C Mead(I)|B Lee|E Duran|J Naylor|J Walker; J McCarthy; T Hernandez; K Stowers|C Yelich; J Tibbs(M)|B Woo; R Garcia; E Pagan; C Patrick; C Sale; M Wacha; B Headrick; G Graceffo; S Cruz; E Rodriguez(R); A Pallante(R)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|M Trout; P Crow-Armstrong; R Acuna Jr.; V Mesa Jr.; L Robert(I)|V Pasquantino|L Webb; M Perez; N Cameron; G Kirby; S Arrighetti; F Valdez; S Lugo; T Megill; P Messick; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|R Greene; I Happ; C Carrigg; R Anthony; W Jenkins(R)|T Rumfield|J Webb; G Cole; Z Wheeler; F Griffin; P Tolle; P Skenes; K Montero; S Imanaga; B Snell; B Woodruff(I); S McClanahan(I)
