source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-25T12:37:41
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|Y Diaz|B Harper|B Lowe|J Caminero|X Bogaerts|C Montgomery|R O'Hearn|J Rodriguez; A Burleson; O Cruz; J Sanoja; J Baez(R)|S Taylor|D Peterson; C Burns; C Ragans; W Buehler; H Brown; J Luzardo; L Roupp; J Jobe; C Quantrill
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee|J Pena|C Seager|W Contreras|S Suzuki; J Altuve; R Arozarena; B Reynolds|S Ohtani (Batter); J De Paula(R)|E Diaz; K Jansen; K Gausman; C Rodon; M Fried; Y Yamamoto; C Holmes; N Martinez; Y Kikuchi; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; M Dubon; B Nimmo; J Hoo Lee|D Baldwin|J Ryan; C Smith; C Mize; D Lee; J Misiorowski; G Whitlock; M Boyd; T Skubal; A Morejon; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|C Mayo|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Caglianone; J Marsee; H Ramos; J Chourio|G Perdomo; B Montgomery(R)|C Cavalli; K Senga; B Garcia; L Gilbert; J Hoffman; A Uribe; N McLean; D Rasmussen; R Suarez; D Williams(I); S Schwellenbach(I); M Meyer(I); R Pepiot(I); J Steele(I); C Early(I); C Ponce(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; W Abreu; L Butler; M Moniak; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|B Hudson; R Johnson; K Anderson; D Bednar; D Smith; J Morillo; R Detmers; B Joyce; B Baker; S Bieber(I); R Sasaki(I); B Ashcraft(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|J Adell; S Jones; H Hernandez; J Soto; M Clark(R); A Barger(I)|Y Alvarez|G Taylor; F Peralta; J Jones; P Lambert; C Sanchez; M Miller; I Seymour; Y Gomez; D Cease; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|J Wood; M Harris II; A.J. Ewing; H Bolte|J Wetherholt; T Story(R)|G Williams; J Latz; T Bradley; M McGreevy; M Gore; T Scott; M King; W Warren; H Harris; E Alvarado(R); T Yesavage(I); R Helsley(I); G Crochet(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; E Valdez; K Tucker; J Mangum; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|S Alcantara; R Ray; S Burke; B Young; R Iglesias; C Scott; H Wesneski; T Glasnow; A Munoz; R O'Brien(R); S Drohan(R); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Benge; W Langford; C Bellinger; C DeLauter; D Lile(R)|K Schwarber|Z Thornton; G Rodriguez; L Varland; A Painter; C Javier; C Schlittler; J Duran; Z Matthews; T Rogers; J Lopez(R); M Abel(I); H Greene(I); K Bradish(I); E Hancock(I); C Estevez(I); E Uceta(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|C Carroll; G Mitchell; D Canzone; S Kwan; A Judge(R)|Y Diaz|W Urena; S Gray; J deGrom; A Abbott; T Mahle; M Soroka; E Perez; L Henderson; S Manaea; C Dollander(I)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|M Garcia; C Mead(I)|B Lee|E Duran|J Naylor|J Walker; K Stowers; J McCarthy; T Hernandez|C Yelich; J Tibbs(M)|E Pagan; B Woo; B Headrick; G Graceffo; C Patrick; C Sale; R Garcia; S Cruz; M Wacha; A Pallante(R); E Rodriguez(R)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|V Mesa Jr.; M Trout; P Crow-Armstrong; R Acuna Jr.; L Robert(I)|V Pasquantino|P Messick; N Cameron; G Kirby; T Megill; L Webb; S Lugo; M Perez; S Arrighetti; F Valdez; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; W Castro(I); C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; R Anthony; C Carrigg; R Greene; W Jenkins(R)|T Rumfield|G Cole; B Snell; S Imanaga; P Skenes; K Montero; Z Wheeler; F Griffin; J Webb; P Tolle; B Woodruff(I); S McClanahan(I)
