source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-12T08:39:08
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|B Doyle; O Cruz; M Moniak; J Rodriguez; R O'Hearn(I)|N Hoerner; J Baez(M)|R Suarez; L Roupp; H Brown; J Soriano; J Hader; N Eovaldi; J Latz; M Gore; J Luzardo; C Beeter(R); J Romano(R); T Santillan(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|B Reynolds; R Arozarena; J Altuve; S Suzuki|S Ohtani (Batter)|A Ashby; K Gausman; T Bibee; Y Yamamoto; M Fried; E Diaz; N Martinez; K Jansen; C Holmes; S Manaea(R); C Rodon(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; M Dubon; J Hoo Lee; G Springer|D Baldwin; J.P. Crawford(I)|C Smith; J Misiorowski; B Singer; T Skubal; M Boyd; S Baz; G Whitlock; A Morejon; C Mize; B King(R); B Brown(I); J Leiter(I); J Ryan(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|T Soderstrom|J Duran; J Chourio; H Ramos; C Smith; J Caballero(R); J Marsee(R)|B Montgomery|A Uribe; W Warren; J Hoffman; C Cavalli; B Garcia; N McLean; L Gilbert; J Bennett; D Rasmussen; S Schwellenbach(I); C Ponce(I); N Lodolo(I); M Meyer(I); D Williams(I); R Pepiot(I); C Early(I); R Suarez(I); J Steele(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|B Witt|B Turang|M Vargas|J Merrill; W Abreu; L Butler; C Rafaela; C Simpson(R); B Buxton(I)|J Chisholm Jr.|B Ashcraft; D Bednar; A Painter; B Ober; R Detmers; R Lowder; B Baker; B Miller; D Peterson; R Sasaki(R); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; S Jones; H Hernandez; M Clark; A Barger(I); J Soto(I)|Y Alvarez|G Taylor; K Harrison; I Seymour; B Pfaadt; C Sanchez; D Cease; Y Gomez; M Miller; J Jobe; F Peralta(R); P Lambert(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|Z Gelof; T Story(I); C Pratt(I)|S Torkelson|B Marsh; M Harris II; J Bauers; J.J. Bleday; J Wood(I)|M McLain|K Leahy; B Elder; T Wells; M King; H Harris; G Williams; L Weaver; C Burns; T Bradley; M McGreevy(R); G Soto(R); T Yesavage(I); R Helsley(I); G Crochet(I); R Nelson(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|A Pages; K Tucker; J Mangum; E Valdez; B Rooker(I)|K Karros; G Stanton(I)|B Young; A Munoz; R Ray; H Wesneski; C Scott; S Drohan; S Burke; S Alcantara; R Iglesias; R O'Brien(R); D Martin(R); K Bubic(I); T Glasnow(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|T Rumfield; K Okamoto(R)|C Benge; C DeLauter; D Lile; W Langford; C Bellinger(I)|K Schwarber|T Rogers; L Varland; G Rodriguez; K Bradish; Z Thornton; J Duran; E Hancock; C Schlittler; A Abbott; M Abel(I); C Estevez(I); H Greene(I); E Uceta(I); Q Mathews(M)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|C Carroll; S Kwan; K Clemens; D Canzone; A Judge(I)|Y Diaz|L Henderson; E Perez; W Urena; E Miller; D May; A Chapman; T Melton; S Gray; J deGrom; S Ohtani (Pitcher)(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|W Adames|E Duran|J McCarthy; T Grisham; J Walker; T Hernandez; K Stowers(I)|J Bell; C Yelich(R); J Tibbs(M)|C Sale; M Wacha; E Rodriguez; J.T. Ginn; E Pagan; K Montero; A Pallante; S Cruz; B Woo; G Soriano(R); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|P Crow-Armstrong; M Trout; V Mesa Jr.; J Dominguez|R Acuna Jr.|F Valdez; L Webb; R Weathers; G Kirby; C Prielipp; N Cameron; P Messick; P Sewald; T Megill; S Lugo(R); R Blanco(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|I Happ; A.J. Ewing; R Greene; C Carrigg; R Anthony(I)|D Varsho|S Imanaga; P Skenes; G Jump; G Cole; Z Wheeler; P Tolle; J Webb; F Griffin; P Fairbanks; J Wrobleski(R); N Pivetta(I); S McClanahan(I); B Snell(I); B Woodruff(I)
