source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-10T07:03:11
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|J Rodriguez; M Moniak; O Cruz; T Ward; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|J Romano; H Brown; J Hader; R Suarez; M Gore; J Luzardo; C Beeter; N Eovaldi; J Latz; J Soriano(R); L Roupp(R); D Palencia(I); T Santillan(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|J Altuve; B Reynolds; R Arozarena; S Suzuki; E Ruiz(R)|S Ohtani (Batter)|K Jansen; T Bibee; K Gausman; M Fried; C Holmes; N Martinez; Y Yamamoto; A Ashby; E Diaz; J Flaherty(I); C Rodon(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; J Hoo Lee; B Nimmo; M Dubon|D Baldwin; J.P. Crawford(I)|C Mize; J Misiorowski; S Baz; C Smith; A Morejon; T Skubal; G Whitlock; M Boyd; B Singer; B King(R); B Brown(I); J Leiter(I); J Ryan(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|T Soderstrom|C Smith; H Ramos; J Chourio; J Duran; J Marsee(R); J Caballero(R)|B Montgomery|C Cavalli; D Williams; D Rasmussen; B Garcia; J Hoffman; J Cantillo; N McLean; L Gilbert; J Bennett; S Schwellenbach(I); C Early(I); C Ponce(I); M Meyer(I); J Steele(I); R Pepiot(I); R Suarez(I); N Lodolo(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|B Witt|B Turang|M Vargas|C Rafaela; W Abreu; L Butler; J Merrill; C Simpson(R); B Buxton(I)|J Chisholm Jr.|B Ashcraft; A Painter; H Dobbins; B Baker; R Detmers; J Jones; D Kremer; R Sasaki; D Bednar; B Miller(R); Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; M Clark; H Hernandez; L Thomas; S Jones(R); A Barger(I); J Soto(I)|Y Alvarez|D Cease; M Miller; Y Gomez; B Pfaadt; P Lambert; I Seymour; G Taylor; C Sanchez; J Jobe; F Peralta(R); K Harrison(I); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|Z Gelof; T Story(I); C Pratt(I)|S Torkelson|M Harris II; J Bauers; B Marsh; J.J. Bleday; J Wood(I)|M McLain|T Bradley; C Burns; H Harris; M King; L Weaver; T Wells; K Leahy; G Williams; B Elder; M McGreevy(R); G Soto(R); R Helsley(I); R Nelson(I); G Crochet(I); T Yesavage(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; E Valdez; K Tucker; A Pages; B Rooker(I)|K Karros; G Stanton(I)|S Alcantara; C Scott; H Wesneski; R Iglesias; S Drohan; R Ray; A Munoz; S Burke; B Young; D Martin(R); R O'Brien(R); T Glasnow(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|T Rumfield; J Aranda(R)|N Nunez|K Okamoto|F Lindor|G Lombard Jr.; X Bogaerts(R)|J Ramirez|D Lile; W Langford; C Benge; C DeLauter; C Bellinger(I)|K Schwarber|L Varland; K Bradish; Z Thornton; T Rogers; C Schlittler; T Scott; H Greene; E Hancock; J Duran; M Abel(I); E Uceta(I); C Estevez(I); Q Mathews(M)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|D Canzone; K Clemens; S Kwan; C Carroll; A Judge(I)|Y Diaz|T Melton; A Chapman; J deGrom; S Gray; L Henderson; D May; E Perez; E Miller; W Urena; S Ohtani (Pitcher)(R); C Dollander(I); L Gil(M); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|W Adames|E Duran|K Stowers; T Hernandez; J McCarthy; J Walker|T Grisham; C Yelich(R); J Tibbs(M)|B Woo; K Montero; J.T. Ginn; M Wacha; S Cruz; A Pallante; E Rodriguez; E Pagan; C Sale; G Soriano(R); J Musgrove(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|P Crow-Armstrong; J Dominguez; V Mesa Jr.; M Trout|R Acuna Jr.|G Kirby; C Prielipp; P Messick; P Sewald; N Cameron; T Megill; L Webb; R Weathers; F Valdez; S Lugo(R); R Blanco(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; R Greene; A.J. Ewing; I Happ; R Anthony(I)|D Varsho|S Imanaga; Z Wheeler; G Jump; P Skenes; G Cole; P Fairbanks; J Webb; J Wrobleski; P Tolle; F Griffin(R); B Woodruff(I); S McClanahan(I); B Snell(I); N Pivetta(I)
