source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-18T21:17:25
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|J Baez; M Moniak; O Cruz; J Rodriguez; R O'Hearn(I)|N Hoerner|J Latz; J Soriano; M Gore; M Montgomery; H Brown; R Suarez; M Perez; J Hader; J Luzardo; J Romano(R); C Beeter(R); D Palencia(I); T Santillan(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|S Suzuki; J Altuve; B Reynolds; R Arozarena|S Ohtani (Batter)|K Jansen; Y Yamamoto; S Manaea; T Bibee; A Ashby; C Rodon; C Holmes; E Diaz; N Martinez; K Gausman(R); M Fried(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; J Hoo Lee; M Dubon; B Nimmo|D Baldwin; J.P. Crawford(I)|T Skubal; M Boyd; C Mize; J Misiorowski; S Baz; B Singer; A Morejon; D Lee; C Smith; B King(R); B Brown(I); G Whitlock(I); J Leiter(I); J Ryan(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|A Bohm; J Caballero(R); T Soderstrom(I)|H Ramos; J Chourio; C Smith; J Duran; J Marsee(R)|B Montgomery|N McLean; L Gilbert; W Warren; C Cavalli; J Hoffman; J Bennett; D Rasmussen; B Garcia; N Lodolo; M Meyer(I); D Williams(I); C Early(I); R Suarez(I); J Steele(I); R Pepiot(I); S Schwellenbach(I); C Ponce(I); A Uribe(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|B Buxton; C Rafaela; J Merrill; W Abreu; L Butler(R); C Simpson(R)|K Marte|B Ashcraft; B Baker; R Detmers; E Lauer; M Kelly; R Sasaki; B Miller; D Bednar; M Liberatore; Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; M Clark; J Adell; S Jones; J Soto(I); A Barger(I)|Y Alvarez|Y Gomez; J Jobe; B Pfaadt; G Taylor; K Harrison; I Seymour; C Sanchez; M Miller; D Cease; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|Z Gelof; N Arenado(R)|C.J. Abrams|X Bogaerts; C Pratt(I); T Story(I)|S Torkelson|J Bauers; M Harris II; J.J. Bleday; B Marsh; J Wood(I)|M McLain|T Scott; K Leahy; C Burns; G Williams; B Elder; H Harris; T Bradley; T Wells; M King; L Weaver(R); T Yesavage(I); R Nelson(I); G Crochet(I); R Helsley(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I)|N Schanuel; V Guerrero Jr.(I)|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; J Mangum; E Valdez; A Pages; B Rooker(I)|T Tawa; G Stanton(I); K Karros(I)|S Drohan; R Iglesias; C Scott; R Ray; M Bratt; S Alcantara; B Young; S Burke; A Munoz; H Wesneski(R); R O'Brien(R); T Glasnow(I); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; H Bolte; C Benge; D Lile; C DeLauter(R); C Bellinger(I)|K Schwarber|Z Thornton; T Rogers; C Schlittler; K Bradish; Q Mathews; J Duran; L Varland; A Abbott; E Hancock; C Estevez(I); H Greene(I); M Abel(I); E Uceta(I)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|G Conine; S Kwan; C Carroll; D Canzone; A Judge(I)|Y Diaz|S Gray; T Mahle; A Chapman; L Henderson; D May; W Urena; E Perez; T Melton; E Miller; J deGrom(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|T Grisham; J McCarthy; J Walker; T Hernandez; K Stowers(I)|C Yelich; W Adames(R); J Tibbs(M)|S Cruz; E Rodriguez; J.T. Ginn; A Pallante; M Soroka; E Pagan; C Sale; M Wacha; K Montero; B Woo(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|P Crow-Armstrong; L Robert; V Mesa Jr.; M Trout; J Dominguez(M)|R Acuna Jr.|L Webb; S Natera Jr.; T Megill; N Cameron; R Weathers; P Messick; G Kirby; F Valdez; C Prielipp; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; Z Veen; A.J. Ewing; I Happ; R Greene(I); R Anthony(I)|D Varsho|P Fairbanks; J Webb; G Cole; S Imanaga; P Skenes; Z Wheeler; B Snell; P Tolle; F Griffin; G Jump(R); N Pivetta(I); S McClanahan(I); B Woodruff(I); J Wrobleski(M)
