source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-17T10:06:50
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|A Volpe|R Palacios|B Eldridge|A Burleson; J Rodriguez; J Sanoja; O Cruz; J Baez(R)|R O'Hearn|J Hader; R Suarez; W Buehler; M Montgomery; A Nola; N Eovaldi; H Brown; J Soriano; G Jax; C Quantrill(R); J Luzardo(I)
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|J Altuve; B Reynolds; R Arozarena; S Suzuki|J De Paula; S Ohtani (Batter)(I)|Y Kikuchi; M Fried; T Bibee; C Rodon; Y Yamamoto; K Jansen; N Martinez; K Gausman; C Holmes; A Ashby(R); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|M Dubon; J Hoo Lee; G Springer; B Nimmo|D Baldwin|A Morejon; J Ryan; C Mize; M Boyd; G Whitlock; D Lee; C Smith; T Skubal; J Misiorowski; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Duran; C Smith; J Marsee|C Mayo; B Montgomery(R)|A Uribe; N McLean; C Cavalli; L Gilbert; K Senga; D Rasmussen; J Hoffman; B Garcia; J Bennett; C Ponce(I); C Early(I); S Schwellenbach(I); R Pepiot(I); D Williams(I); J Steele(I); R Suarez(I); M Meyer(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; W Abreu; L Butler; M Moniak; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|D Bednar; J Morillo; B Hudson; J Martinez; B Baker; D Smith; R Johnson; B Joyce; R Detmers; R Sasaki(I); B Ashcraft(I); S Bieber(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; J Soto; S Jones; J Adell; M Clark(R); A Barger(I)|Y Alvarez|J Jones; Y Gomez; M Miller; D Cease; G Taylor; C Sanchez; P Lambert; I Seymour; F Peralta; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|A.J. Ewing; H Bolte; J Wood; M Harris II|T Story; J Wetherholt(I)|W Warren; M McGreevy; H Harris; T Bradley; J Latz; M King; G Williams; T Scott; M Gore; E Alvarado(R); G Crochet(I); T Yesavage(I); R Nelson(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; J Mangum; E Valdez; K Tucker; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|S Alcantara; C Scott; S Burke; A Munoz; R Ray; T Glasnow; H Wesneski; B Young; R Iglesias; S Drohan(R); R O'Brien(R); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Benge; W Langford; C DeLauter; C Bellinger; D Lile(R)|K Schwarber|C Schlittler; J Lopez; J Duran; T Rogers; A Painter; Z Matthews; G Rodriguez; Z Thornton; C Javier; L Varland(R); C Estevez(I); H Greene(I); E Hancock(I); M Abel(I); K Bradish(I); E Uceta(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|C Montgomery|P Ramirez; D Swanson(I)|M Busch|D Canzone; A Judge; S Kwan; C Carroll|Y Diaz|D May; W Urena; J deGrom; S Gray; T Melton; D Kremer; T Mahle; L Henderson; A Chapman; E Perez(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|K Stowers; J Walker; J McCarthy; T Hernandez|C Yelich; T Grisham(I); J Tibbs(M)|E Rodriguez; S Cruz; B Woo; G Graceffo; E Pagan; C Sale; C Patrick; R Garcia; M Wacha; B Headrick(R); A Pallante(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; M Trout; V Mesa Jr.; R Acuna Jr.; L Robert(I)|V Pasquantino|F Valdez; G Kirby; N Cameron; L Webb; S Arrighetti; T Megill; S Lugo; P Messick; M Perez; S Ohtani (Pitcher)(R); S Strider(I); R Weathers(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; R Greene; R Anthony; I Happ; W Jenkins(R)|T Rumfield|M Soroka; G Cole; Z Wheeler; K Montero; P Tolle; F Griffin; J Webb; B Snell; P Skenes; S Imanaga(R); S McClanahan(I); B Woodruff(I)
