source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-23T17:43:57
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|Y Diaz|B Harper|B Lowe|J Caminero|X Bogaerts|C Montgomery|R O'Hearn|A Burleson; J Rodriguez; J Sanoja; O Cruz; J Baez(R)|S Taylor|H Brown; W Buehler; D Peterson; C Quantrill; C Ragans; C Burns; J Luzardo; J Jobe; L Roupp
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee|J Pena|C Seager|W Contreras|J Altuve; R Arozarena; B Reynolds; S Suzuki|S Ohtani (Batter); J De Paula(R)|C Holmes; Y Kikuchi; M Fried; Y Yamamoto; K Jansen; C Rodon; E Diaz; K Gausman; N Martinez; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; G Springer; M Dubon; B Nimmo|D Baldwin|M Boyd; J Misiorowski; C Mize; G Whitlock; J Ryan; T Skubal; C Smith; A Morejon; D Lee; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|C Mayo|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|H Ramos; J Chourio; J Caglianone; J Marsee|G Perdomo; B Montgomery(R)|D Rasmussen; B Garcia; K Senga; N McLean; J Hoffman; C Cavalli; L Gilbert; R Suarez; A Uribe; R Pepiot(I); D Williams(I); C Ponce(I); J Steele(I); S Schwellenbach(I); C Early(I); M Meyer(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|W Abreu; M Moniak; J Merrill; L Butler; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|B Joyce; D Smith; D Bednar; B Hudson; B Baker; R Detmers; J Morillo; K Anderson; R Johnson; R Sasaki(I); B Ashcraft(I); S Bieber(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; S Jones; J Adell; J Soto; M Clark(R); A Barger(I)|Y Alvarez|D Cease; C Sanchez; I Seymour; G Taylor; J Jones; F Peralta; P Lambert; M Miller; Y Gomez; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|M Harris II; A.J. Ewing; J Wood; H Bolte|J Wetherholt; T Story(R)|H Harris; T Bradley; W Warren; J Latz; T Scott; G Williams; M McGreevy; M Gore; M King; E Alvarado(R); G Crochet(I); R Helsley(I); T Yesavage(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; J Mangum; E Valdez; K Tucker; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|S Alcantara; R Iglesias; S Burke; R Ray; B Young; A Munoz; T Glasnow; C Scott; H Wesneski; S Drohan(R); R O'Brien(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Benge; W Langford; C Bellinger; C DeLauter; D Lile(R)|K Schwarber|L Varland; A Painter; Z Thornton; T Rogers; C Schlittler; J Duran; C Javier; Z Matthews; G Rodriguez; J Lopez(R); K Bradish(I); M Abel(I); E Hancock(I); C Estevez(I); H Greene(I); E Uceta(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|C Carroll; G Mitchell; D Canzone; S Kwan; A Judge(R)|Y Diaz|L Henderson; M Soroka; S Gray; S Manaea; J deGrom; E Perez; A Abbott; W Urena; T Mahle; C Dollander(I)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|M Garcia; C Mead(I)|B Lee|E Duran|J Naylor|T Hernandez; J McCarthy; K Stowers; J Walker|C Yelich; T Grisham(I); J Tibbs(M)|B Woo; B Headrick; C Sale; M Wacha; C Patrick; R Garcia; S Cruz; E Pagan; G Graceffo; A Pallante(R); E Rodriguez(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|R Acuna Jr.; M Trout; V Mesa Jr.; P Crow-Armstrong; L Robert(I)|V Pasquantino|G Kirby; T Megill; N Cameron; L Webb; S Arrighetti; M Perez; P Messick; S Lugo; F Valdez; S Ohtani (Pitcher)(R); S Strider(I); R Weathers(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; W Castro(I); C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; I Happ; R Anthony; R Greene; W Jenkins(R)|T Rumfield|Z Wheeler; G Cole; K Montero; P Skenes; J Webb; P Tolle; F Griffin; S Imanaga; B Snell; B Woodruff(I); S McClanahan(I)
