source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-20T20:42:55
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|A Volpe|R Palacios|R O'Hearn|A Burleson; J Rodriguez; O Cruz; J Sanoja; J Baez(R)|D Harris|R Suarez; J Hader; N Eovaldi; M Montgomery; A Nola; G Jax; H Brown; W Buehler; J Soriano; C Quantrill(R); J Luzardo(I)
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|R Arozarena; S Suzuki; B Reynolds; J Altuve|J De Paula; S Ohtani (Batter)(I)|K Gausman; Y Yamamoto; E Diaz; K Jansen; M Fried; N Martinez; Y Kikuchi; C Holmes; C Rodon; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; G Springer; M Dubon; J Hoo Lee|D Baldwin|C Smith; T Skubal; C Mize; G Whitlock; A Morejon; J Ryan; D Lee; M Boyd; J Misiorowski; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|C Smith; J Duran; J Chourio; J Marsee|C Mayo; B Montgomery(R)|L Gilbert; D Rasmussen; A Uribe; J Hoffman; K Senga; J Bennett; N McLean; C Cavalli; B Garcia; C Early(I); R Suarez(I); M Meyer(I); S Schwellenbach(I); R Pepiot(I); J Steele(I); C Ponce(I); D Williams(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; W Abreu; L Butler; M Moniak; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|J Morillo; B Hudson; B Joyce; R Detmers; D Bednar; D Smith; B Baker; J Martinez; R Johnson; S Bieber(I); R Sasaki(I); E Cabrera(I); B Ashcraft(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; J Adell; J Soto; S Jones; M Clark(R); A Barger(I)|Y Alvarez|M Miller; C Sanchez; Y Gomez; P Lambert; J Jones; D Cease; F Peralta; G Taylor; I Seymour; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|A.J. Ewing; J Wood; H Bolte; M Harris II|T Story; J Wetherholt(I)|H Harris; W Warren; G Williams; J Latz; T Bradley; M King; M Gore; T Scott; M McGreevy; E Alvarado(R); B Ober(R); R Helsley(I); T Yesavage(I); G Crochet(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|E Valdez; K Tucker; J Mangum; T Tawa; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|R Iglesias; T Glasnow; C Scott; S Alcantara; S Burke; B Young; R Ray; H Wesneski; A Munoz; S Drohan(R); R O'Brien(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; C Bellinger; C Benge; C DeLauter; D Lile(R)|K Schwarber|C Javier; C Schlittler; Z Thornton; G Rodriguez; L Varland; Z Matthews; A Painter; T Rogers; J Duran; J Lopez(R); K Bradish(I); E Hancock(I); E Uceta(I); M Abel(I); C Estevez(I); H Greene(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|G Mitchell; C Carroll; D Canzone; S Kwan; A Judge(R)|Y Diaz|A Chapman; J deGrom; T Mahle; E Perez; L Henderson; W Urena; T Melton; S Gray; D Kremer; D May(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|K Stowers; J McCarthy; J Walker; T Hernandez|C Yelich; T Grisham(I); J Tibbs(M)|R Garcia; M Wacha; C Sale; E Pagan; C Patrick; S Cruz; B Woo; G Graceffo; B Headrick; E Rodriguez(R); A Pallante(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; M Trout; R Acuna Jr.; V Mesa Jr.; L Robert(I)|V Pasquantino|P Messick; N Cameron; M Perez; S Lugo; L Webb; S Arrighetti; F Valdez; G Kirby; T Megill; S Ohtani (Pitcher)(R); S Strider(I); R Weathers(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; R Greene; R Anthony; C Carrigg; W Jenkins(R)|T Rumfield|S Imanaga; G Cole; P Tolle; Z Wheeler; K Montero; B Snell; F Griffin; J Webb; P Skenes; B Woodruff(I); S McClanahan(I)
