source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-02T10:19:02
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|O Cruz; J Rodriguez; A.J. Ewing; J Baez; R O'Hearn(I)|B Stott|H Brown; J Soriano; J Hader; M Gore; C Quantrill; R Suarez; J Luzardo; W Buehler; A Nola; M Montgomery(R); J Latz(R); D Palencia(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|J Altuve; R Arozarena; B Reynolds; S Suzuki|S Ohtani (Batter)|C Rodon; M Fried; K Jansen; T Bibee; C Holmes; Y Yamamoto; K Gausman; B Joyce; N Martinez; A Ashby(R); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; J Hoo Lee; G Springer; M Dubon|D Baldwin|Z Matthews; J Misiorowski; T Skubal; G Whitlock; D Lee; M Boyd; C Mize; A Morejon; C Smith; S Baz(R); J Ryan(I); B Brown(I); J Leiter(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|C Smith; J Chourio; J Duran; J Marsee; H Ramos(R)|B Montgomery|K Senga; D Rasmussen; A Uribe; L Gilbert; C Cavalli; J Hoffman; J Bennett; N McLean; B Garcia; J Steele(I); C Ponce(I); C Early(I); D Williams(I); R Pepiot(I); R Suarez(I); M Meyer(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|C Mayo; M Machado(R)|B Witt|J Chisholm Jr.|M Vargas|L Butler; C Rafaela; W Abreu; J Merrill|S Torkelson; C Simpson(R); B Buxton(I); K Marte(I)|J Cantillo; C Beeter; J Martinez; D Smith; B Baker; D Bednar; B Ashcraft; B Hudson; R Detmers; E Cabrera(I); S Bieber(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; J Soto; S Jones; H Hernandez; M Clark(R); A Barger(I)|Y Alvarez|Y Gomez; P Lambert; M Miller; I Seymour; F Peralta; K Harrison; G Taylor; C Sanchez; D Cease; B Pfaadt(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|M McLain|Z Gelof|C.J. Abrams|C Pratt|N Arenado|M Harris II; B Marsh; J Wood; J Bauers|T Story; J Wetherholt(I)|G Williams; C Burns; M King; B Elder; T Scott; M McGreevy; T Bradley; E Alvarado; K Anderson; H Harris(R); T Wells(R); G Crochet(I); R Nelson(I); T Yesavage(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; E Valdez; K Tucker; J Mangum; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|B Young; S Drohan; R Iglesias; R Ray; C Scott; S Alcantara; A Munoz; S Burke; T Glasnow; H Wesneski(R); R O'Brien(R); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|N Nunez; G Lombard Jr.(R)|K Okamoto|D Lile; C DeLauter; W Langford; C Bellinger; C Benge(R)|K Schwarber|J Duran; K Bradish; A Abbott; J Lopez; L Varland; C Schlittler; A Painter; Z Thornton; T Rogers; M Abel(I); C Estevez(I); H Greene(I); E Uceta(I); E Hancock(I)
Runtime Terror|W Smith|P Alonso|K Clemens|P Ramirez|C Montgomery|N Sogard; D Swanson(I)|M Busch; J Jung(I)|S Kwan; T Peters; D Canzone; C Carroll; A Judge(I)|Y Diaz|T Mahle; L Henderson; W Urena; T Melton; A Chapman; L Gil; S Gray; E Perez; J deGrom; D May(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|T Grisham; J McCarthy; J Walker; T Hernandez|K Stowers; C Yelich(R); J Tibbs(M)|K Montero; R Garcia; M Wacha; C Sale; E Rodriguez; E Pagan; S Cruz; B Headrick; J.T. Ginn; B Woo(R); J Musgrove(I); A Pallante(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz|L Robert; M Trout; R Acuna Jr.; P Crow-Armstrong; V Mesa Jr.(I); J Dominguez(M)|V Pasquantino|L Webb; M Perez; S Arrighetti; D Duarte; P Messick; G Kirby; N Cameron; F Valdez; T Megill; S Lugo(R); S Ohtani (Pitcher)(R); R Weathers(I); S Natera Jr.(I); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; W Jenkins; D Varsho; R Anthony; C Carrigg(R); R Greene(I)|T Rumfield|J Webb; P Skenes; Z Wheeler; B Snell; S McClanahan; G Jump; P Tolle; F Griffin; G Cole; S Imanaga(R); B Woodruff(I); N Pivetta(I); P Fairbanks(I); J Wrobleski(M)
