source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-29T06:07:33
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|O Cruz; M Moniak; J Rodriguez; J Baez; R O'Hearn(I)|B Stott|H Brown; M Montgomery; J Luzardo; R Suarez; J Hader; J Latz; M Gore; A Nola; J Soriano; J Romano(R); C Beeter(R); T Santillan(I); N Eovaldi(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|B Reynolds; S Suzuki; R Arozarena; J Altuve|S Ohtani (Batter)|A Ashby; Y Yamamoto; C Holmes; K Gausman; T Bibee; B Joyce; C Rodon; N Martinez; K Jansen; S Manaea(R); M Fried(I); E Diaz(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|M Dubon; J Hoo Lee; B Nimmo; G Springer|D Baldwin; J.P. Crawford(I)|S Baz; Z Matthews; T Skubal; D Lee; C Mize; C Smith; J Misiorowski; M Boyd; A Morejon; G Whitlock(I); B Brown(I); J Leiter(I); J Ryan(I); S Smith(M); B King(M)
Guillotine|G Moreno|J Caglianone|J Caballero; S Antonacci(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Marsee; J Duran; C Smith; H Ramos(R)|B Montgomery|N McLean; J Hoffman; B Garcia; L Gilbert; D Rasmussen; K Senga; C Cavalli; N Lodolo; J Bennett; M Meyer(I); S Schwellenbach(I); C Early(I); J Steele(I); R Suarez(I); C Ponce(I); D Williams(I); A Uribe(I); R Pepiot(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|L Butler; W Abreu; C Rafaela; J Merrill|C Simpson; B Buxton(R); K Marte(I)|J Cantillo; Y Kikuchi; R Detmers; B Baker; B Ashcraft; S Ohtani (Pitcher); B Miller; D Bednar; E Lauer; L Roupp(R); E Cabrera(I); S Bieber(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; M Clark; H Hernandez; S Jones; A Barger(I); J Soto(I)|Y Alvarez|C Sanchez; G Taylor; M Miller; D Cease; K Harrison; F Peralta; I Seymour; Y Gomez; B Pfaadt; J Jobe(R); P Lambert(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|C Pratt; T Story(I)|N Arenado|J.J. Bleday; J Bauers; M Harris II; B Marsh; J Wood(I)|M McLain|M King; G Williams; C Burns; T Scott; H Harris; K Anderson; T Bradley; B Elder; M McGreevy; T Wells(R); K Leahy(R); R Helsley(I); R Nelson(I); G Crochet(I); T Yesavage(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; E Valdez; J Mangum; T Tawa; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|B Young; R Iglesias; S Drohan; A Munoz; S Burke; T Glasnow; C Scott; R Ray; S Alcantara; R O'Brien(R); H Wesneski(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; C Bellinger; C Benge; C DeLauter; D Lile(R)|K Schwarber|E Hancock; J Lopez; K Bradish; Z Thornton; J Duran; T Rogers; L Varland; C Schlittler; A Abbott; C Estevez(I); H Greene(I); M Abel(I); E Uceta(I)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|D Canzone; S Kwan; G Conine; C Carroll; A Judge(I)|Y Diaz|D May; A Chapman; E Perez; L Henderson; S Gray; J deGrom; T Melton; E Miller; W Urena; T Mahle(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|T Grisham; J Walker; T Hernandez; J McCarthy|K Stowers; C Yelich(R); J Tibbs(M)|E Rodriguez; B Headrick; M Wacha; K Montero; R Garcia; J.T. Ginn; E Pagan; C Sale; S Cruz; B Woo(R); A Pallante(I); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|R Acuna Jr.; M Trout; P Crow-Armstrong; L Robert; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|R Weathers; P Messick; F Valdez; C Prielipp; N Cameron; S Natera Jr.; L Webb; T Megill; G Kirby; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; D Varsho; I Happ; A.J. Ewing; Z Veen(R); R Greene(I); R Anthony(I)|T Rumfield|G Jump; P Tolle; F Griffin; G Cole; B Snell; J Webb; S McClanahan; P Skenes; Z Wheeler; S Imanaga(R); B Woodruff(I); P Fairbanks(I); N Pivetta(I); J Wrobleski(M)
