source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-23T10:21:09
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|J Baez; O Cruz; J Rodriguez; M Moniak; R O'Hearn(I)|N Hoerner|J Luzardo; J Hader; R Suarez; M Montgomery; J Soriano; J Latz; H Brown; M Gore; A Nola; J Romano(R); C Beeter(R); D Palencia(I); T Santillan(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|R Arozarena; S Suzuki; B Reynolds; J Altuve|S Ohtani (Batter)|B Joyce; C Holmes; N Martinez; K Jansen; S Manaea; T Bibee; Y Yamamoto; C Rodon; A Ashby; K Gausman(R); J Flaherty(I); E Diaz(I); M Fried(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; M Dubon; J Hoo Lee; G Springer|D Baldwin; J.P. Crawford(I)|C Smith; M Boyd; B Singer; A Morejon; S Baz; J Misiorowski; D Lee; C Mize; T Skubal; J Leiter(I); J Ryan(I); B Brown(I); G Whitlock(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|A Bohm; J Caballero(R); T Soderstrom(I)|J Chourio; J Duran; C Smith; H Ramos; J Marsee(R)|B Montgomery|L Gilbert; J Bennett; N McLean; C Cavalli; J Hoffman; B Garcia; W Warren; D Rasmussen; N Lodolo; C Early(I); D Williams(I); R Suarez(I); A Uribe(I); J Steele(I); R Pepiot(I); S Schwellenbach(I); M Meyer(I); C Ponce(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|W Abreu; C Rafaela; B Buxton; J Merrill; C Simpson(R)|L Butler; K Marte(I)|M Kelly; B Ashcraft; D Bednar; R Detmers; S Bieber; B Miller; B Baker; E Lauer; M Liberatore; R Sasaki(R); Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|S Jones; H Hernandez; M Clark; J Adell; A Barger(I); J Soto(I)|Y Alvarez|M Miller; C Sanchez; I Seymour; G Taylor; B Pfaadt; K Harrison; Y Gomez; D Cease; J Jobe; F Peralta(R); P Lambert(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|X Bogaerts; C Pratt(I); T Story(I)|N Arenado; S Torkelson(R)|M Harris II; B Marsh; J Bauers; J.J. Bleday; J Wood(I)|M McLain|T Scott; T Wells; K Leahy; T Bradley; B Elder; H Harris; M King; C Burns; G Williams; M McGreevy(R); R Helsley(I); G Crochet(I); R Nelson(I); T Yesavage(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I)|R Flores; V Guerrero Jr.(I)|X Edwards|N Gonzales|T Turner|C Young|J Burger|E Valdez; K Tucker; A Pages; J Mangum; B Rooker(I)|T Tawa; G Stanton(I); K Karros(I)|S Drohan; C Scott; S Burke; R Ray; S Alcantara; R Iglesias; B Young; M Bratt; A Munoz; H Wesneski(R); R O'Brien(R); D Martin(I); K Bubic(I); T Glasnow(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|D Lile; C Benge; W Langford; H Bolte; C DeLauter(R); C Bellinger(I)|K Schwarber|L Varland; J Duran; Q Mathews; E Hancock; T Rogers; K Bradish; Z Thornton; C Schlittler; A Abbott; H Greene(I); M Abel(I); E Uceta(I); C Estevez(I)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|S Kwan; G Conine; D Canzone; C Carroll; A Judge(I)|Y Diaz|A Chapman; S Gray; L Henderson; T Melton; W Urena; T Mahle; E Miller; E Perez; D May; J deGrom(R); C Dollander(I); L Gil(M); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|J McCarthy; J Walker; T Hernandez; T Grisham; K Stowers(I)|C Yelich; W Adames(R); J Tibbs(M)|J.T. Ginn; M Wacha; S Cruz; C Sale; K Montero; E Rodriguez; A Pallante; E Pagan; M Soroka; B Woo(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|L Robert; M Trout; R Acuna Jr.; P Crow-Armstrong; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|F Valdez; S Natera Jr.; G Kirby; R Weathers; T Megill; N Cameron; C Prielipp; L Webb; P Messick; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|Z Veen; A.J. Ewing; I Happ; C Carrigg; R Anthony(I); R Greene(I)|D Varsho|Z Wheeler; G Cole; P Skenes; B Snell; P Fairbanks; S Imanaga; J Webb; F Griffin; P Tolle; G Jump(R); B Woodruff(I); S McClanahan(I); N Pivetta(I); J Wrobleski(M)
