source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-01T07:10:10
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|J Baez; O Cruz; A.J. Ewing; J Rodriguez; R O'Hearn(I)|B Stott|M Gore; C Quantrill; H Brown; J Soriano; A Nola; W Buehler; J Luzardo; J Hader; R Suarez; J Latz(R); M Montgomery(R); N Eovaldi(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|B Reynolds; J Altuve; R Arozarena; S Suzuki|S Ohtani (Batter)|K Gausman; Y Yamamoto; N Martinez; C Holmes; K Jansen; B Joyce; C Rodon; T Bibee; M Fried; A Ashby(R); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; J Hoo Lee; B Nimmo; M Dubon|D Baldwin|G Whitlock; D Lee; C Mize; Z Matthews; M Boyd; C Smith; A Morejon; J Misiorowski; T Skubal; S Baz(R); J Leiter(I); J Ryan(I); B Brown(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Marsee; C Smith; J Duran; H Ramos(R)|B Montgomery|K Senga; C Cavalli; B Garcia; A Uribe; L Gilbert; J Bennett; D Rasmussen; J Hoffman; N McLean; C Ponce(I); D Williams(I); R Pepiot(I); R Suarez(I); C Early(I); M Meyer(I); J Steele(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|C Mayo; M Machado(R)|B Witt|J Chisholm Jr.|M Vargas|L Butler; W Abreu; C Rafaela; J Merrill|S Torkelson; C Simpson(R); B Buxton(I); K Marte(I)|B Hudson; B Baker; B Ashcraft; R Dobnak; D Smith; R Detmers; J Cantillo; D Bednar; J Martinez; E Cabrera(I); S Bieber(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; J Soto; J Adell; S Jones; M Clark(R); A Barger(I)|Y Alvarez|K Harrison; G Taylor; D Cease; Y Gomez; P Lambert; C Sanchez; F Peralta; I Seymour; M Miller; B Pfaadt(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|M McLain|Z Gelof|C.J. Abrams|C Pratt|N Arenado|J Bauers; B Marsh; M Harris II; J Wood|T Story; J Wetherholt(I)|T Bradley; K Anderson; M King; G Williams; B Elder; T Scott; M McGreevy; E Alvarado; C Burns; T Wells(R); H Harris(R); T Yesavage(I); G Crochet(I); R Nelson(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; K Tucker; J Mangum; E Valdez; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|A Munoz; C Scott; T Glasnow; R Iglesias; S Alcantara; R Ray; S Burke; B Young; S Drohan; R O'Brien(R); H Wesneski(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|N Nunez; G Lombard Jr.(R)|K Okamoto|C DeLauter; W Langford; D Lile; C Bellinger; C Benge(R)|K Schwarber|T Rogers; K Bradish; C Schlittler; A Abbott; L Varland; Z Thornton; J Lopez; J Duran; A Painter; E Hancock(I); H Greene(I); C Estevez(I); M Abel(I); E Uceta(I)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|K Clemens|P Ramirez|C Montgomery|N Sogard; D Swanson(I)|M Busch; J Jung(I)|T Peters; S Kwan; C Carroll; D Canzone; A Judge(I)|Y Diaz|J deGrom; T Mahle; L Gil; S Gray; W Urena; T Melton; A Chapman; E Perez; L Henderson; D May(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|J Walker; T Hernandez; T Grisham; J McCarthy|K Stowers; C Yelich(R); J Tibbs(M)|B Headrick; K Montero; E Rodriguez; M Wacha; C Sale; S Cruz; J.T. Ginn; E Pagan; R Garcia; B Woo(R); A Pallante(I); J Musgrove(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz|M Trout; L Robert; P Crow-Armstrong; R Acuna Jr.; V Mesa Jr.(I); J Dominguez(M)|V Pasquantino|S Arrighetti; N Cameron; D Duarte; T Megill; G Kirby; L Webb; F Valdez; P Messick; M Perez; S Lugo(R); R Weathers(I); S Strider(I); S Natera Jr.(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|R Anthony; I Happ; W Jenkins; D Varsho; C Carrigg(R); R Greene(I)|T Rumfield|B Snell; P Skenes; F Griffin; P Tolle; G Jump; Z Wheeler; S McClanahan; J Webb; G Cole; S Imanaga(R); P Fairbanks(I); N Pivetta(I); B Woodruff(I); J Wrobleski(M)
