source: https://buecker.baseball.cbssports.com/stats/stats-main?print_rows=9999
captured: 2026-09-01T09:01:51
---
ACTION|AVAIL|PLAYER|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|RANK
Action|Avail|Player|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|Rank
1947828|OF|FA|Keenyn Walker OF • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29644421|SS|FA|Ronny Cruz SS • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29350514|OF|FA|Jake Thompson OF • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26913035|OF|FA|Yerlin Confidan OF • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26643938|SS|FA|Maikol Hernandez SS • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2792433|OF|FA|Taylor Kohlwey OF • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044540|OF|FA|Trent Youngblood OF • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29678298|SS|FA|Randal Diaz SS • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044062|SS|FA|Zach Daudet SS • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29088487|SS|FA|Jesus Castillo SS • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26913016|OF|FA|Willy Vasquez OF • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26913006|SS|FA|Maikol Escotto SS • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2170500|3B|FA|Steven Fuentes 3B • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29321955|C|FA|Enrique Jimenez C • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
28843206|3B|FA|Marcos Cabrera 3B • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2001079|OF|FA|David Dahl OF • PHI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3107611|C|FA|Ramon Rodriguez C • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3107610|OF|FA|Ian Dawkins OF • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2120795|1B|FA|Jordy Lara 1B • ATL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2766204|3B|FA|David Thompson 3B • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29342249|OF|FA|Kelvin Diaz OF • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2121075|SS|FA|Paul Hendrix SS • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2931025|SS|FA|Keyber Rodriguez SS • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2915594|3B|FA|Kirvin Moesquit 3B • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2791369|3B|FA|Randy Cesar 3B • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3078522|OF|FA|Brett Johnson OF • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2449452|OF|FA|Akil Baddoo OF • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29086775|1B|FA|Leandro Emiliani 1B • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2803411|C|FA|A.J. Murray C • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171043|SS|FA|Yosmany Guerra SS • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836702|OF|FA|Donovan Casey OF • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2119614|1B|FA|Jonathan Rodriguez 1B • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2915619|SS|FA|Ryan Howard SS • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29693386|C|FA|Bennett Thompson C • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29326347|C|FA|Sammy Hernandez C • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26913047|OF|FA|Luis Pino OF • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171420|OF|FA|Michael Medina OF • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29153563|SS|FA|Adrian Santana SS • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836837|3B|FA|Danny Edgeworth 3B • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29087645|SS|FA|Jose Baez SS • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26913009|2B|FA|Kevin Made 2B • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2050879|1B|FA|Yasiel Balaguert 1B • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2119255|OF|FA|Franchy Cordero OF • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2743632|C|FA|Joe DeCarlo C • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044697|OF|FA|Drake Logan OF • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2114139|OF|FA|Leo Heras OF • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29662456|SS|FA|Joswa Lugo SS • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2932928|OF|FA|Keegan McGovern OF • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29685416|OF|FA|Tommy Hawke OF • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29685406|3B|FA|Austin Deming 3B • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3117925|3B|FA|Kody Hoese 3B • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29644443|OF|FA|Ian Petrutz OF • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3117919|OF|FA|Greg Jones OF • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29077091|C|FA|Wade Stauss C • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50041340|OF|FA|Ryan Wideman OF • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
28843219|SS|FA|Andres Mesa SS • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
28843209|SS|FA|Jose Escorche SS • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2829304|C|FA|Freuddy Batista C • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29669158|SS|FA|Ayden Johnson SS • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2250599|OF|FA|Will Benson OF • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044238|OF|FA|Nick Mitchell OF • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2227777|C|FA|Santiago Chavez C • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29677015|SS|FA|Shotaro Morii SS • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2049016|1B|FA|Chris Jacobs 1B • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
28920021|1B|FA|Cam Collier 1B • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2942991|U|FA|Seth Beer DH • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836858|OF|FA|Logan Farrar OF • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171392|SS|FA|Nelson Ward SS • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29322027|OF|FA|Estuar Suero OF • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2050172|2B|FA|Tom Belza 2B • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2120727|1B|FA|Viosergy Rosa 1B • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2048269|SS|FA|Garrett Weber SS • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29075727|3B|FA|Logan Wagner 3B • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2823664|OF|FA|Fernando Kelli OF • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
1813205|SS|FA|Tyler Bortnick SS • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
1959742|C|FA|Miguel Del Castillo C • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2050951|OF|FA|Anthony Gallas OF • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29687767|C|FA|Juan Montero C • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29692366|OF|FA|Yerlin Luis OF • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836541|OF|FA|Edmond Americaan OF • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171048|SS|FA|Zach Osborne SS • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836540|SS|FA|Jacob Amaya SS • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2772560|3B|FA|Luis Rengifo 2B,3B,OF • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29089076|SS|FA|Jose Izarra SS • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29090712|SS|FA|Timothy Borden SS • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2837608|OF|FA|Frankie Tostado OF • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2749888|OF|FA|Telmito Agustin OF • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2746788|3B|FA|Marty Herum 3B • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2226625|OF|FA|Patrick Biondi OF • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2447475|C|FA|Donny Sands C • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29669151|OF|FA|Kevin Alvarez OF • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2226895|OF|FA|Ryde Rodriguez OF • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
28838304|1B|FA|Joe Naranjo 1B • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2930753|OF|FA|Carlos Aguiar OF • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29677760|OF|FA|Carson Jones OF • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3094732|SS|FA|Hansel Moreno SS • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26911725|OF|FA|Kala'i Rosario OF • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2829031|SS|FA|Marcos Gonzalez SS • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26913042|OF|FA|Junior Marin OF • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29683482|C|FA|Shane McGuire C • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2933123|OF|FA|Cal Stevenson OF • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3165224|C|FA|Kyle McCann C • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2167293|C|FA|Ty Ross C • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2803830|U|FA|Mike Ford DH • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171875|3B|FA|Brandon Trinkwon 3B • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171427|OF|FA|Jabari Henry OF • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2170038|C|FA|Ronnie Freeman C • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29680512|C|FA|Brandon Martorano C • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29350509|2B|FA|JT Mabry 2B • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
1670944|C|FA|Mayo Acosta C • TB|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50002605|SS|FA|JoJo Parker SS • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3108844|3B|FA|Kaleo Johnson 3B • TB|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2050504|C|FA|Jeff Arnold C • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2171338|SS|FA|Austin Fisher SS • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29662454|SS|FA|Ashly Andujar SS • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2918998|3B|FA|Charles Leblanc 3B • ATL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2932821|C|FA|Alex Holderbach C • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29342638|C|FA|Adam Retzbach C • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2821926|1B|FA|Luis Castro 1B • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2038822|2B|FA|Alex Yarbrough 2B • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29086558|OF|FA|Aaron Palensky OF • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2507349|SS|FA|Malquin Canelo SS • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2217337|C|FA|Matt Winn C • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50009358|3B|FA|Josh Hammond 3B • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044115|C|FA|Jason Schiavone C • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044473|C|FA|Ryan McCrystal C • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2931270|OF|FA|Christopher De La Cruz OF • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2120089|2B|FA|Kevin Medrano 2B • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2804919|SS|FA|Osvaldo Duarte SS • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29662397|SS|FA|Yolfran Castillo SS • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2915815|OF|FA|Willie Abreu OF • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2837294|OF|FA|T.J. Nichting OF • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2167348|3B|FA|Gavin LaValley 3B • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2000370|2B|FA|Jeremias Pineda 2B • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29322022|SS|FA|Jared Serna SS • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2837197|SS|FA|Brady McConnell SS • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2121066|C|FA|Alex Burg C • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836950|OF|FA|Dalton Guthrie OF • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2921041|SS|FA|Chad Sedio SS • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836951|2B|FA|Trey Hair 2B • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2120721|OF|FA|Kyle Johnson OF • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26635164|SS|FA|Chris Schrock SS • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2228195|OF|FA|Alan Garcia OF • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50009347|OF|FA|Ethan Conrad OF • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
3107625|OF|FA|Cole Billingsley OF • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29684914|3B|FA|Ryan Johnson 3B • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2836805|C|FA|Brent Diaz C • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2823927|C|FA|Jason Lopez C • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2227632|OF|FA|Jon Matthews OF • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29330426|C|FA|Eric Rodriguez C • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2837344|SS|FA|Cole Peterson SS • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29089074|C|FA|Daniel Cope C • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50009351|SS|FA|Xavier Neyens SS • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29087199|OF|FA|Tanner Murphy OF • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2864364|OF|FA|Walking Cabrera OF • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29632924|C|FA|Josue Briceno C • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50058200|OF|FA|Trevor Condon OF • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50009368|2B|FA|Mitch Voit 2B • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2170131|1B|FA|Correlle Prime 1B • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
2170179|OF|FA|Mike Tauchman OF • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
29085465|3B|FA|Michel Triana 3B • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
50044894|OF|FA|Kyle West OF • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
26615345|SS|FA|Casey Martin SS • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|.000|.000|.000|9999
