source: https://buecker.baseball.cbssports.com/stats/stats-main?print_rows=9999
captured: 2026-09-01T09:01:51
---
ACTION|AVAIL|PLAYER|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|RANK
Action|Avail|Player|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|Rank
3158363|2B|FA|David Hamilton 2B,3B,SS • MIL|13.5|2.1|3.3|2.3|0.5|0.1|0.3|1.5|1.2|3.1|1.0|0.2|.244|.306|.377|656
2920354|1B|FA|Nate Lowe 1B • CLE|15.9|1.8|4.2|2.6|0.9|0.1|0.7|2.6|1.7|3.7|0.0|0.0|.266|.335|.464|659
2836800|OF|FA|Jonny DeLuca OF • TB|14.7|1.9|3.7|2.4|0.7|0.1|0.5|1.8|1.0|3.7|0.7|0.2|.253|.302|.410|660
29683335|OF|FA|Turner Hill OF • SF|16.9|2.2|4.1|2.6|0.9|0.1|0.5|2.2|1.5|4.2|0.5|0.1|.245|.299|.404|664
26615381|OF|FA|Evan Carter OF • TEX|17.4|2.4|3.8|2.3|0.9|0.1|0.6|1.9|1.7|4.6|0.7|0.1|.220|.296|.381|665
2227731|OF|FA|Cedric Mullins OF • TB|16.9|2.3|3.5|2.2|0.5|0.1|0.6|2.0|1.7|4.2|0.8|0.3|.207|.289|.366|667
26643928|SS|FA|Angel Genao SS • CLE|18.1|2.3|4.6|3.2|0.8|0.1|0.5|1.8|1.4|3.9|0.5|0.1|.255|.313|.392|668
2167340|OF|FA|Miguel Andujar 3B,OF • SD|15.1|1.9|4.8|3.0|1.3|0.2|0.3|1.9|0.6|1.9|0.2|0.1|.320|.355|.497|672
1799263|C|FA|Gary Sanchez C • MIL|11.0|2.0|2.7|1.5|0.4|0.1|0.8|2.4|1.6|2.6|0.0|0.0|.248|.352|.508|673
2822262|OF|FA|Bryan De La Cruz OF • PHI|16.1|1.9|3.9|2.6|0.7|0.0|0.7|2.6|1.0|5.0|0.2|0.1|.245|.293|.415|675
2507366|OF|FA|Jesus Sanchez OF • TOR|14.9|1.9|4.0|2.4|0.9|0.1|0.5|2.0|1.6|3.7|0.3|0.1|.267|.345|.452|676
2821977|1B|FA|Andres Chaparro 1B • WAS|13.9|2.2|3.5|2.2|0.7|0.0|0.6|2.3|1.6|3.4|0.1|0.0|.253|.341|.441|678
2829397|OF|FA|Wenceel Perez OF • DET|14.8|2.3|3.7|2.3|0.7|0.1|0.5|1.9|1.2|2.9|0.4|0.1|.246|.306|.420|679
26615390|OF|FA|Owen Caissie OF • MIA|15.9|2.2|3.5|2.0|0.8|0.1|0.6|2.5|1.5|5.9|0.4|0.1|.221|.284|.398|680
2211801|OF|FA|Victor Robles OF • SEA|13.8|1.7|3.7|2.7|0.6|0.2|0.2|1.3|1.1|2.8|1.1|0.2|.269|.328|.373|681
2170135|OF|FA|Jose Siri OF • LAA|14.8|2.0|3.5|2.2|0.7|0.1|0.6|2.0|1.2|4.2|0.4|0.1|.238|.300|.413|682
29075533|OF|FA|Dylan Beavers OF • BAL|17.2|2.3|4.1|2.5|0.9|0.1|0.6|2.2|1.8|5.4|0.3|0.2|.239|.315|.409|683
3117469|C|FA|Adley Rutschman C • BOS|17.0|2.2|4.2|2.5|1.2|0.1|0.5|2.8|1.8|3.2|0.0|0.0|.249|.323|.416|687
1804466|OF|FA|Tommy Pham OF • NYM|14.4|2.1|3.7|2.5|0.7|0.1|0.5|2.2|1.4|3.6|0.2|0.1|.260|.328|.423|688
2829012|C|FA|Yainer Diaz C • HOU|16.2|1.8|4.2|2.8|0.6|0.0|0.8|2.2|0.5|3.1|0.0|0.0|.260|.285|.448|690
29155725|OF|FA|Dylan Crews OF • WAS|18.4|2.5|3.9|2.5|0.8|0.1|0.5|2.2|1.5|5.0|0.6|0.1|.209|.285|.341|691
