source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-26T06:08:33
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|J Rodriguez; J Baez; O Cruz; M Moniak; R O'Hearn(I)|B Stott|J Luzardo; R Suarez; J Soriano; A Nola; H Brown; J Latz; M Montgomery; J Hader; M Gore; J Romano(R); C Beeter(R); D Palencia(I); T Santillan(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|R Arozarena; B Reynolds; J Altuve; S Suzuki|S Ohtani (Batter)|B Joyce; T Bibee; A Ashby; C Rodon; Y Yamamoto; N Martinez; K Gausman; C Holmes; K Jansen; S Manaea(R); J Flaherty(I); M Fried(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; B Nimmo; G Springer; M Dubon|D Baldwin; J.P. Crawford(I)|M Boyd; J Misiorowski; D Lee; T Skubal; A Morejon; C Smith; S Baz; C Mize; B Singer; B Brown(I); J Leiter(I); J Ryan(I); G Whitlock(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|J Caballero; S Antonacci(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Marsee; J Chourio; C Smith; J Duran; H Ramos(R)|B Montgomery|J Hoffman; C Cavalli; J Bennett; K Senga; L Gilbert; N Lodolo; D Rasmussen; B Garcia; N McLean; R Pepiot(I); R Suarez(I); C Early(I); D Williams(I); A Uribe(I); M Meyer(I); S Schwellenbach(I); C Ponce(I); J Steele(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|J Merrill; C Rafaela; W Abreu; L Butler|C Simpson; B Buxton(R); K Marte(I)|B Ashcraft; J Cantillo; R Detmers; R Sasaki; B Miller; L Roupp; D Bednar; B Baker; S Ohtani (Pitcher); Y Kikuchi(I); S Bieber(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; M Clark; J Adell; S Jones; J Soto(I); A Barger(I)|Y Alvarez|D Cease; J Jobe; B Pfaadt; K Harrison; C Sanchez; Y Gomez; M Miller; G Taylor; I Seymour; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|C Pratt; T Story(I)|N Arenado|J.J. Bleday; B Marsh; J Bauers; M Harris II; J Wood(I)|M McLain|M King; T Bradley; T Scott; K Anderson; B Elder; M McGreevy; G Williams; H Harris; C Burns; T Wells(R); K Leahy(R); R Helsley(I); R Nelson(I); T Yesavage(I); G Crochet(I)
Magnum GI|F Alvarez; S Basallo(I)|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; E Valdez; J Mangum; K Tucker; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|S Burke; B Young; R Ray; C Scott; R Iglesias; A Munoz; S Alcantara; T Glasnow; S Drohan; R O'Brien(R); H Wesneski(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; C Benge; C DeLauter; C Bellinger; D Lile(R)|K Schwarber|E Hancock; J Duran; A Abbott; C Schlittler; Z Thornton; J Lopez; T Rogers; K Bradish; L Varland; E Uceta(I); C Estevez(I); H Greene(I); M Abel(I)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|S Kwan; D Canzone; C Carroll; G Conine; A Judge(I)|Y Diaz|W Urena; S Gray; A Chapman; T Melton; E Miller; D May; L Henderson; E Perez; J deGrom; T Mahle(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|J McCarthy; T Hernandez; J Walker; T Grisham|K Stowers; C Yelich(R); J Tibbs(M)|C Sale; B Headrick; S Cruz; E Pagan; K Montero; E Rodriguez; M Wacha; J.T. Ginn; R Garcia; B Woo(R); M Soroka(I); A Pallante(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|P Crow-Armstrong; R Acuna Jr.; L Robert; M Trout; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|F Valdez; N Cameron; T Megill; C Prielipp; S Natera Jr.; P Messick; R Weathers; G Kirby; L Webb; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; C Carrigg; D Varsho; A.J. Ewing; Z Veen(R); R Anthony(I); R Greene(I)|T Rumfield|S Imanaga; P Tolle; P Skenes; Z Wheeler; F Griffin; B Snell; J Webb; P Fairbanks; G Cole; G Jump(R); S McClanahan(I); B Woodruff(I); N Pivetta(I); J Wrobleski(M)
