source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-08T11:20:36
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|J Rodriguez; O Cruz; T Ward; M Moniak; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|N Eovaldi; H Brown; R Suarez; M Gore; J Latz; J Luzardo; C Beeter; J Romano; J Hader; J Soriano(R); L Roupp(R); T Santillan(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R); B Donovan(I)|M Murakami|S Suzuki; R Arozarena; B Reynolds; E Ruiz; J Altuve(R)|S Ohtani (Batter)|S Manaea; M Fried; K Jansen; Y Yamamoto; K Gausman; N Martinez; E Diaz; T Bibee; A Ashby; C Holmes(I); J Flaherty(I); C Rodon(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; G Springer; M Dubon; B Nimmo|D Baldwin; J.P. Crawford(I)|J Ryan; C Mize; A Morejon; J Misiorowski; C Smith; M Boyd; B Singer; T Skubal; G Whitlock; B King(R); J Leiter(I); B Brown(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|T Soderstrom|J Chourio; H Ramos; J Duran; C Smith; J Caballero(R); J Marsee(R)|B Montgomery|J Hoffman; J Cantillo; J Bennett; L Gilbert; N McLean; C Cavalli; D Rasmussen; B Garcia; D Williams; N Lodolo(I); C Early(I); S Schwellenbach(I); J Steele(I); R Pepiot(I); M Meyer(I); C Ponce(I); R Suarez(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|C Rafaela; L Butler; W Abreu; J Merrill; C Simpson(R); B Buxton(I)|J Chisholm Jr.|L Castillo; A Painter; R Sasaki; B Ashcraft; D Bednar; J Jones; R Detmers; G Jax; B Baker; B Miller(R); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|C Encarnacion-Strand; E Suarez(R); N Kurtz(I)|L Thomas; H Hernandez; M Clark; J Adell; S Jones(R); J Soto(I); A Barger(I)|Y Alvarez|I Seymour; M Miller; F Peralta; P Lambert; G Taylor; C Sanchez; D Cease; Y Gomez; B Pfaadt; K Harrison(I); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; T Story(I); Z Gelof(I)|S Torkelson|B Marsh; J.J. Bleday; J Bauers; M Harris II; J Wood(I)|M McLain|M McGreevy; T Wells; T Bradley; G Soto; H Harris; B Elder; G Williams; C Burns; M King; L Weaver(R); R Helsley(I); R Nelson(I); G Crochet(I); T Yesavage(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|A Pages; K Tucker; J Mangum; E Valdez; B Rooker(I)|K Karros; G Stanton(I)|S Burke; A Munoz; D Martin; R Ray; R Iglesias; H Wesneski; S Drohan; S Alcantara; C Scott; R O'Brien(R); B Young(R); T Glasnow(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|T Rumfield; J Aranda(R)|N Nunez|K Okamoto|F Lindor|G Lombard Jr.; X Bogaerts(R)|J Ramirez|W Langford; D Lile; C DeLauter; C Benge; C Bellinger(I)|K Schwarber|E Hancock; J Duran; K Bradish; T Rogers; T Scott; L Varland; C Schlittler; Z Thornton; H Greene; M Abel(I); E Uceta(I); C Estevez(I); Q Mathews(M)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|C Carroll; S Kwan; D Canzone; K Clemens; A Judge(I)|Y Diaz|E Perez; S Gray; T Melton; W Urena; L Henderson; J deGrom; E Miller; D May; A Chapman; S Ohtani (Pitcher)(R); C Dollander(I); L Gil(M); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|W Adames|E Duran|J Walker; J McCarthy; T Hernandez; K Stowers|T Grisham; C Yelich(R); J Tibbs(M)|C Sale; B Woo; K Montero; E Rodriguez; S Cruz; J.T. Ginn; E Pagan; M Wacha; A Pallante; G Soriano(R); J Musgrove(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|J Dominguez; M Trout; V Mesa Jr.; P Crow-Armstrong|R Acuna Jr.|T Megill; L Webb; N Cameron; P Sewald; C Prielipp; F Valdez; R Weathers; P Messick; G Kirby; R Blanco(R); S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|I Happ; C Carrigg; A.J. Ewing; R Greene; R Anthony(I)|D Varsho|P Skenes; C Kilian; Z Wheeler; J Wrobleski; S Imanaga; J Webb; P Tolle; P Fairbanks; G Cole; F Griffin(R); B Woodruff(I); S McClanahan(I); B Snell(I); N Pivetta(I)
