source: https://buecker.baseball.cbssports.com/teams/roster-report/<team>/<period>/ (periods 1-20)
captured: 2026-08-08T11:23:20
---
Like a Nightmare|4|active|P|Jacob Misiorowski P • MIL
Like a Nightmare|4|active|P|Shohei Ohtani (Pitcher) P • LAD
Like a Nightmare|4|active|P|Noah Schultz P • CHW
Like a Nightmare|4|active|P|Paul Skenes P • PIT
Like a Nightmare|4|active|P|Emmet Sheehan P • LAD
Like a Nightmare|4|active|P|Ryan Walker P • SF
Like a Nightmare|4|bench|P|Bryce Miller P • SEA
Like a Nightmare|5|active|C|Yainer Diaz C • HOU
Like a Nightmare|5|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|5|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|5|active|3B|Manny Machado 3B • SD
Like a Nightmare|5|active|SS|Willy Adames SS • SF
Like a Nightmare|5|active|MI|Ezequiel Tovar SS • COL
Like a Nightmare|5|active|CI|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|5|active|OF|Byron Buxton OF • MIN
Like a Nightmare|5|active|OF|Jackson Merrill OF • SD
Like a Nightmare|5|active|OF|Luke Raley 1B,OF • SEA
Like a Nightmare|5|active|OF|Matt Wallner OF • MIN
Like a Nightmare|5|active|U|Moises Ballesteros U • LAA
Like a Nightmare|5|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|5|injured|U|Dylan Crews OF • WAS
Like a Nightmare|5|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|5|active|P|Edward Cabrera P • CHC
Like a Nightmare|5|active|P|Lucas Erceg P • KC
Like a Nightmare|5|active|P|Pete Fairbanks P • MIA
Like a Nightmare|5|active|P|Shohei Ohtani (Pitcher) P • LAD
Like a Nightmare|5|active|P|Noah Schultz P • CHW
Like a Nightmare|5|active|P|Luis Severino P • ATH
Like a Nightmare|5|active|P|Emmet Sheehan P • LAD
Like a Nightmare|5|active|P|Paul Skenes P • PIT
Like a Nightmare|5|active|P|Bryan Baker P • TB
Like a Nightmare|5|bench|P|Bryce Miller P • SEA
Like a Nightmare|6|active|C|Yainer Diaz C • HOU
Like a Nightmare|6|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|6|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|6|active|3B|Manny Machado 3B • SD
Like a Nightmare|6|active|SS|Willy Adames SS • SF
Like a Nightmare|6|active|MI|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|6|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|6|active|OF|Byron Buxton OF • MIN
Like a Nightmare|6|active|OF|Jackson Merrill OF • SD
Like a Nightmare|6|active|OF|Luke Raley 1B,OF • SEA
Like a Nightmare|6|active|OF|Matt Wallner OF • MIN
Like a Nightmare|6|active|U|Moises Ballesteros U • LAA
Like a Nightmare|6|active|MI|Ezequiel Tovar SS • COL
Like a Nightmare|6|injured|U|Dylan Crews OF • WAS
Like a Nightmare|6|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|6|active|P|Bryan Baker P • TB
Like a Nightmare|6|active|P|Edward Cabrera P • CHC
Like a Nightmare|6|active|P|Lucas Erceg P • KC
Like a Nightmare|6|active|P|Pete Fairbanks P • MIA
Like a Nightmare|6|active|P|Yusei Kikuchi P • LAA
Like a Nightmare|6|active|P|Shohei Ohtani (Pitcher) P • LAD
Like a Nightmare|6|active|P|Emmet Sheehan P • LAD
Like a Nightmare|6|active|P|Paul Skenes P • PIT
Like a Nightmare|6|active|P|Noah Schultz P • CHW
Like a Nightmare|6|bench|P|Bryce Miller P • SEA
Like a Nightmare|7|active|C|Ryan Jeffers C • MIN
Like a Nightmare|7|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|7|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|7|active|3B|Manny Machado 3B • SD
Like a Nightmare|7|active|SS|Willy Adames SS • SF
Like a Nightmare|7|active|MI|Travis Bazzana 2B • CLE
Like a Nightmare|7|active|CI|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|7|active|OF|Byron Buxton OF • MIN
Like a Nightmare|7|active|OF|Justin Crawford OF • PHI
Like a Nightmare|7|active|OF|Jackson Merrill OF • SD
Like a Nightmare|7|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|7|active|U|Moises Ballesteros U • LAA
Like a Nightmare|7|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|7|active|OF|Matt Wallner OF • MIN
Like a Nightmare|7|injured|U|Dylan Crews OF • WAS
Like a Nightmare|7|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|7|active|P|Bryan Baker P • TB
Like a Nightmare|7|active|P|Edward Cabrera P • CHC
Like a Nightmare|7|active|P|Lucas Erceg P • KC
Like a Nightmare|7|active|P|Shohei Ohtani (Pitcher) P • LAD
Like a Nightmare|7|active|P|Noah Schultz P • CHW
Like a Nightmare|7|active|P|Luis Severino P • ATH
Like a Nightmare|7|active|P|Emmet Sheehan P • LAD
Like a Nightmare|7|active|P|Paul Skenes P • PIT
Like a Nightmare|7|bench|P|Pete Fairbanks P • MIA
Like a Nightmare|7|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|7|bench|P|Bryce Miller P • SEA
Like a Nightmare|8|active|C|Ryan Jeffers C • MIN
Like a Nightmare|8|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|8|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|8|active|3B|Manny Machado 3B • SD
Like a Nightmare|8|active|SS|Bobby Witt SS • KC
Like a Nightmare|8|active|MI|Brice Turang 2B • MIL
Like a Nightmare|8|active|CI|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|8|active|OF|Byron Buxton OF • MIN
Like a Nightmare|8|active|OF|Jackson Merrill OF • SD
Like a Nightmare|8|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|8|active|OF|Taylor Ward OF • SEA
Like a Nightmare|8|active|U|Miguel Vargas 1B,3B • CHW
Like a Nightmare|8|active|U|Moises Ballesteros U • LAA
Like a Nightmare|8|injured|U|Dylan Crews OF • WAS
Like a Nightmare|8|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|8|active|P|Bryan Baker P • TB
Like a Nightmare|8|active|P|David Bednar P • NYY
Like a Nightmare|8|active|P|Edward Cabrera P • CHC
Like a Nightmare|8|active|P|Reid Detmers P • LAA
Like a Nightmare|8|active|P|Lucas Erceg P • KC
Like a Nightmare|8|active|P|Bryce Miller P • SEA
Like a Nightmare|8|active|P|Noah Schultz P • CHW
Like a Nightmare|8|active|P|Emmet Sheehan P • LAD
Like a Nightmare|8|active|P|Luis Severino P • ATH
Like a Nightmare|8|bench|P|Pete Fairbanks P • MIA
Like a Nightmare|8|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|9|active|C|Ryan Jeffers C • MIN
Like a Nightmare|9|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|9|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|9|active|3B|Manny Machado 3B • SD
Like a Nightmare|9|active|SS|Bobby Witt SS • KC
