source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-07T07:17:25
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|M Moniak; J Rodriguez; O Cruz; T Ward; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|H Brown; J Romano; J Hader; J Luzardo; R Suarez; N Eovaldi; J Latz; C Beeter; M Gore; L Roupp(R); J Soriano(R); D Palencia(I); T Santillan(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R); B Donovan(I)|M Murakami|R Arozarena; B Reynolds; E Ruiz; S Suzuki; J Altuve(R)|S Ohtani (Batter)|E Diaz; N Martinez; K Gausman; M Fried; S Manaea; T Bibee; K Jansen; A Ashby; Y Yamamoto; C Rodon(I); J Flaherty(I); C Holmes(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; M Dubon; B Nimmo; J Hoo Lee|D Baldwin; J.P. Crawford(I)|T Skubal; G Whitlock; J Misiorowski; J Ryan; M Boyd; A Morejon; C Smith; B Singer; C Mize; B King(R); J Leiter(I); B Brown(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|J Caballero|J Chourio; J Duran; H Ramos; T Soderstrom; C Smith(R); J Marsee(R)|B Montgomery|J Cantillo; D Rasmussen; N McLean; J Bennett; C Cavalli; B Garcia; L Gilbert; J Hoffman; D Williams; R Suarez(I); M Meyer(I); C Ponce(I); J Steele(I); C Early(I); S Schwellenbach(I); N Lodolo(I); R Pepiot(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|L Butler; W Abreu; C Rafaela; J Merrill; C Simpson(R); B Buxton(I)|J Chisholm Jr.|A Painter; D Bednar; B Ashcraft; G Jax; J Jones; L Castillo; R Sasaki; R Detmers; B Baker; B Miller(R); Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|J Wilson|L Keaschall|C Encarnacion-Strand; E Suarez(R); N Kurtz(I)|J Adell; M Clark; H Hernandez; L Thomas; S Jones(R); A Barger(I); J Soto(I)|Y Alvarez|B Pfaadt; M Miller; I Seymour; Y Gomez; F Peralta; G Taylor; C Sanchez; P Lambert; D Cease; R Snelling(I); K Harrison(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; T Story(I); Z Gelof(I)|S Torkelson|B Marsh; M Harris II; J.J. Bleday; J Bauers; J Wood(I)|M McLain|G Soto; T Wells; M King; H Harris; C Burns; B Elder; T Bradley; G Williams; M McGreevy; L Weaver(R); R Helsley(I); T Yesavage(I); G Crochet(I); R Nelson(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; E Valdez; K Tucker; A Pages; B Rooker(I)|K Karros; G Stanton(I)|R Iglesias; H Wesneski; S Drohan; S Alcantara; C Scott; D Martin; A Munoz; R Ray; S Burke; R O'Brien(R); B Young(R); T Glasnow(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|T Rumfield; J Aranda(R)|N Nunez|K Okamoto|F Lindor|G Lombard Jr.; X Bogaerts(R)|J Ramirez|W Langford; C Benge; C DeLauter; D Lile; C Bellinger(I)|K Schwarber|J Duran; K Bradish; T Rogers; C Schlittler; H Greene; L Varland; E Hancock; T Scott; Z Thornton; C Estevez(I); M Abel(I); E Uceta(I); Q Mathews(M)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|S Kwan; D Canzone; K Clemens; C Carroll; A Judge(I)|Y Diaz|L Henderson; T Melton; S Gray; A Chapman; E Miller; E Perez; J deGrom; D May; W Urena; S Ohtani (Pitcher)(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|W Adames|E Duran|J Walker; J McCarthy; T Hernandez; K Stowers|T Grisham; C Yelich(R); J Tibbs(M)|E Rodriguez; E Pagan; S Cruz; K Montero; A Pallante; G Soriano; B Woo; M Wacha; C Sale; M Soroka(I); J.T. Ginn(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|V Mesa Jr.; M Trout; J Dominguez; P Crow-Armstrong|R Acuna Jr.|F Valdez; P Sewald; G Kirby; T Megill; L Webb; C Prielipp; R Weathers; P Messick; N Cameron; S Lugo(R); R Blanco(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|A.J. Ewing; I Happ; C Carrigg; R Greene; R Anthony(I)|D Varsho|J Webb; C Kilian; P Skenes; J Wrobleski; P Fairbanks; P Tolle; S Imanaga; G Cole; Z Wheeler; F Griffin(R); B Snell(I); B Woodruff(I); N Pivetta(I); S McClanahan(I)
