source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-14T07:30:59
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|B Doyle; M Moniak; O Cruz; J Rodriguez; R O'Hearn(I)|N Hoerner; J Baez(M)|H Brown; J Soriano; J Latz; M Perez; J Luzardo; J Hader; L Roupp; R Suarez; M Gore; J Romano(R); C Beeter(R); T Santillan(I); N Eovaldi(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|B Reynolds; J Altuve; R Arozarena; S Suzuki|S Ohtani (Batter)|C Holmes; T Bibee; Y Yamamoto; N Martinez; K Gausman; A Ashby; M Fried; E Diaz; K Jansen; S Manaea(R); C Rodon(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; J Hoo Lee; B Nimmo; M Dubon|D Baldwin; J.P. Crawford(I)|C Mize; M Boyd; J Misiorowski; T Skubal; G Whitlock; B Singer; C Smith; A Morejon; S Baz; B King(R); J Leiter(I); B Brown(I); J Ryan(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|T Soderstrom|J Chourio; C Smith; H Ramos; J Duran; J Caballero(R); J Marsee(R)|B Montgomery|L Gilbert; J Hoffman; C Cavalli; J Bennett; B Garcia; D Rasmussen; W Warren; N McLean; A Uribe; R Pepiot(I); N Lodolo(I); C Ponce(I); D Williams(I); M Meyer(I); R Suarez(I); J Steele(I); C Early(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|B Witt|J Chisholm Jr.|M Vargas|J Merrill; L Butler; C Rafaela; W Abreu; C Simpson(R); B Buxton(I)|B Turang|B Ober; D Peterson; R Detmers; B Ashcraft; B Baker; L Castillo; R Lowder; B Miller; D Bednar; R Sasaki(R); Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; M Clark; S Jones; H Hernandez; A Barger(I); J Soto(I)|Y Alvarez|G Taylor; Y Gomez; K Harrison; D Cease; B Pfaadt; I Seymour; C Sanchez; J Jobe; M Miller; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|Z Gelof; T Story(I); C Pratt(I)|S Torkelson|M Harris II; J Bauers; J.J. Bleday; B Marsh; J Wood(I)|M McLain|C Burns; B Elder; T Wells; T Bradley; H Harris; L Weaver; M King; K Leahy; G Williams; M McGreevy(R); G Soto(R); R Nelson(I); R Helsley(I); T Yesavage(I); G Crochet(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; E Valdez; A Pages; K Tucker; B Rooker(I)|K Karros; G Stanton(I)|H Wesneski; R Iglesias; S Drohan; A Munoz; C Scott; S Burke; S Alcantara; B Young; R Ray; R O'Brien(R); D Martin(R); T Glasnow(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto; T Rumfield(R)|W Langford; C Benge; D Lile; C DeLauter; C Bellinger(I)|K Schwarber|K Bradish; L Varland; E Hancock; A Abbott; J Duran; Z Thornton; C Schlittler; T Rogers; G Rodriguez; C Estevez(I); E Uceta(I); H Greene(I); M Abel(I); Q Mathews(M)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|K Clemens; S Kwan; C Carroll; D Canzone; A Judge(I)|Y Diaz|T Melton; J deGrom; D May; E Miller; A Chapman; L Henderson; S Gray; W Urena; E Perez; S Ohtani (Pitcher)(R); C Dollander(I); L Gil(M); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|W Adames|E Duran|T Hernandez; J Walker; T Grisham; J McCarthy; K Stowers(I)|J Bell; C Yelich(R); J Tibbs(M)|B Woo; K Montero; S Cruz; A Pallante; M Wacha; C Sale; E Pagan; J.T. Ginn; E Rodriguez; G Soriano(R); J Musgrove(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|M Trout; J Dominguez; V Mesa Jr.; P Crow-Armstrong|R Acuna Jr.|F Valdez; P Sewald; R Weathers; L Webb; G Kirby; T Megill; P Messick; C Prielipp; N Cameron; S Lugo(R); R Blanco(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; I Happ; A.J. Ewing; Z Veen; R Greene(I); R Anthony(I)|D Varsho|Z Wheeler; G Cole; J Webb; P Tolle; S Imanaga; P Skenes; F Griffin; P Fairbanks; B Snell; G Jump(R); J Wrobleski(R); B Woodruff(I); N Pivetta(I); S McClanahan(I)
