source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-06T12:33:59
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|T Ward; M Moniak; O Cruz; J Rodriguez; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|J Romano; H Brown; R Suarez; J Luzardo; J Hader; N Eovaldi; C Beeter; M Gore; J Latz; L Roupp(R); J Soriano(R); D Palencia(I); T Santillan(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R); B Donovan(I)|M Murakami|S Suzuki; B Reynolds; R Arozarena; E Ruiz; J Altuve(R)|S Ohtani (Batter)|K Jansen; S Manaea; K Gausman; T Bibee; N Martinez; M Fried; E Diaz; Y Yamamoto; A Ashby; J Flaherty(I); C Holmes(I); C Rodon(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; M Dubon; B Nimmo; G Springer|D Baldwin; J.P. Crawford(I)|C Smith; B Singer; J Misiorowski; G Whitlock; A Morejon; T Skubal; M Boyd; J Ryan; C Mize; B King(R); B Brown(I); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|J Caballero|T Soderstrom; H Ramos; J Chourio; J Duran; C Smith(R); J Marsee(R)|B Montgomery|J Bennett; N McLean; D Williams; J Cantillo; W Warren; B Garcia; C Cavalli; D Rasmussen; L Gilbert; M Meyer(I); C Early(I); C Ponce(I); N Lodolo(I); J Steele(I); S Schwellenbach(I); R Pepiot(I); R Suarez(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|L Butler; C Rafaela; W Abreu; J Merrill; C Simpson(R); B Buxton(I)|J Chisholm Jr.|B Baker; G Jax; J Jones; A Painter; B Ashcraft; L Castillo; R Sasaki; R Detmers; D Bednar; B Miller(R); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|J Wilson|L Keaschall|C Encarnacion-Strand; E Suarez(R); N Kurtz(I)|M Clark; L Thomas; J Adell; H Hernandez; S Jones(R); J Soto(I); A Barger(I)|Y Alvarez|D Cease; B Pfaadt; F Peralta; P Lambert; M Miller; C Sanchez; Y Gomez; G Taylor; I Seymour; R Snelling(I); K Harrison(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; Z Gelof(I); T Story(I)|S Torkelson|J Bauers; J.J. Bleday; J Wood; M Harris II|M McLain|B Elder; T Yesavage; G Soto; C Burns; M King; T Wells; G Williams; M McGreevy; T Bradley; L Weaver(R); H Harris(R); G Crochet(I); R Nelson(I); R Helsley(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|A Pages; K Tucker; E Valdez; J Mangum; B Rooker(I)|K Karros; G Stanton(I)|H Wesneski; R Ray; S Burke; C Scott; S Drohan; A Munoz; R Iglesias; D Martin; S Alcantara; R O'Brien(R); B Young(R); T Glasnow(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|T Rumfield; J Aranda(R)|N Nunez|K Okamoto|F Lindor|G Lombard Jr.; X Bogaerts(R)|J Ramirez|W Langford; C Benge; D Lile; C DeLauter; C Bellinger(I)|K Schwarber|T Rogers; T Scott; E Hancock; C Schlittler; Z Thornton; L Varland; J Duran; K Bradish; H Greene; E Uceta(I); M Abel(I); C Estevez(I); Q Mathews(M)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|C Carroll; K Clemens; D Canzone; S Kwan; A Judge(I)|Y Diaz|T Melton; S Gray; A Chapman; D May; E Miller; E Perez; J deGrom; L Henderson; W Urena; S Ohtani (Pitcher)(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|W Adames|E Duran|T Hernandez; J Walker; K Stowers; J McCarthy|T Grisham; C Yelich(R); J Tibbs(M)|A Pallante; B Woo; G Soriano; E Pagan; E Rodriguez; C Sale; S Cruz; K Montero; M Wacha; J Musgrove(I); M Soroka(I); J.T. Ginn(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|V Mesa Jr.; M Trout; J Dominguez; P Crow-Armstrong|R Acuna Jr.|L Webb; R Weathers; T Megill; N Cameron; G Kirby; F Valdez; P Messick; C Prielipp; P Sewald; S Lugo(R); R Blanco(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|R Greene; C Carrigg; A.J. Ewing; I Happ; R Anthony(I)|D Varsho|P Fairbanks; P Tolle; G Cole; P Skenes; J Wrobleski; J Webb; C Kilian; S Imanaga; Z Wheeler; F Griffin(R); N Pivetta(I); B Snell(I); B Woodruff(I); S McClanahan(I)
