source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-05T00:41:30
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|O Cruz; T Ward; J Rodriguez; M Moniak; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|C Beeter; J Hader; J Luzardo; J Latz; N Eovaldi; H Brown; M Gore; R Suarez; J Romano; J Soriano(R); L Roupp(R); T Santillan(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R); B Donovan(I)|M Murakami|R Arozarena; S Suzuki; E Ruiz; B Reynolds; J Altuve(R)|S Ohtani (Batter)|T Bibee; M Fried; A Ashby; Y Yamamoto; S Manaea; K Jansen; E Diaz; N Martinez; K Gausman; J Flaherty(I); C Holmes(I); C Rodon(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Marsh; M Dubon; G Springer; B Nimmo|D Baldwin; J.P. Crawford(I)|G Whitlock; B Singer; J Misiorowski; J Ryan; T Skubal; C Smith; A Morejon; C Mize; M Boyd; B King(R); B Brown(I); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|J Caballero|J Chourio; H Ramos; J Duran; T Soderstrom; C Smith(R); J Marsee(R)|B Montgomery|B Garcia; N McLean; J Cantillo; C Cavalli; L Gilbert; D Rasmussen; D Williams; W Warren; J Bennett; N Lodolo(I); R Pepiot(I); M Meyer(I); C Ponce(I); J Steele(I); C Early(I); R Suarez(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|C Simpson; J Merrill; C Rafaela; L Butler; W Abreu(R); B Buxton(I)|J Chisholm Jr.|L Castillo; J Jones; B Ashcraft; R Detmers; R Sasaki; A Painter; G Jax; D Bednar; B Baker; B Miller(R); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|J Wilson|L Keaschall|C Encarnacion-Strand; E Suarez(R); N Kurtz(I)|M Clark; L Thomas; J Adell; H Hernandez; S Jones(R); A Barger(I); J Soto(I)|Y Alvarez|P Lambert; B Pfaadt; M Miller; F Peralta; Y Gomez; C Sanchez; D Cease; G Taylor; I Seymour; R Snelling(I); K Harrison(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; T Story(I); Z Gelof(I)|S Torkelson|J Bauers; M Harris II; J Wood; J.J. Bleday|M McLain|G Soto; C Burns; B Elder; M King; T Bradley; T Yesavage; M McGreevy; T Wells; G Williams; L Weaver(R); H Harris(R); R Helsley(I); R Nelson(I); G Crochet(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; A Pages; E Valdez; K Tucker; B Rooker(I)|K Karros; G Stanton(I)|B Sproat; D Martin; A Munoz; C Scott; R Iglesias; S Alcantara; S Burke; S Drohan; R Ray; R O'Brien(R); B Young(R); T Glasnow(I); K Bubic(I)
Rieken Havoc|C Jensen|T Rumfield; J Aranda(R)|N Nunez|K Okamoto|F Lindor|X Bogaerts|J Ramirez|C Benge; C DeLauter; W Langford; D Lile; L Robert(R); C Bellinger(I)|K Schwarber|L Varland; J Duran; C Schlittler; E Hancock; K Bradish; T Scott; H Greene; T Rogers; Z Thornton; M Abel(I); E Uceta(I); C Estevez(I); Q Mathews(M)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|C Carroll; S Kwan; K Clemens; D Canzone; A Judge(I)|Y Diaz|J deGrom; W Urena; A Chapman; S Cecconi; E Miller; S Gray; L Henderson; T Melton; E Perez; S Ohtani (Pitcher)(R); D May(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|W Adames|E Duran|K Stowers; J Walker; T Grisham; J McCarthy|T Hernandez; C Yelich(R); J Tibbs(M)|S Cruz; M Wacha; E Pagan; E Rodriguez; C Sale; G Soriano; K Montero; B Woo; A Pallante; J.T. Ginn(I); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|P Crow-Armstrong; M Trout; V Mesa Jr.; J Dominguez|R Acuna Jr.|L Webb; P Sewald; T Megill; P Messick; C Prielipp; F Valdez; R Weathers; N Cameron; G Kirby; S Lugo(R); R Blanco(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|A.J. Ewing; I Happ; C Carrigg; R Greene; R Anthony(I)|D Varsho|G Cole; P Fairbanks; S Imanaga; P Tolle; J Webb; J Wrobleski; C Kilian; Z Wheeler; P Skenes; F Griffin(R); B Woodruff(I); S McClanahan(I); N Pivetta(I); B Snell(I)
