source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-21T08:18:06
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|A Volpe|R Palacios|R O'Hearn|A Burleson; J Rodriguez; O Cruz; J Sanoja; J Baez(R)|D Harris|W Buehler; C Burns; C Ragans; C Quantrill; H Brown; J Hader; N Eovaldi; M Montgomery; J Luzardo
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|R Arozarena; J Altuve; B Reynolds; S Suzuki|J De Paula; S Ohtani (Batter)(I)|C Holmes; K Gausman; K Jansen; C Rodon; Y Kikuchi; Y Yamamoto; E Diaz; M Fried; N Martinez; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; M Dubon; J Hoo Lee; G Springer|D Baldwin|J Misiorowski; M Boyd; D Lee; C Mize; C Smith; T Skubal; G Whitlock; J Ryan; A Morejon; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Marsee; C Smith; J Duran|C Mayo; B Montgomery(R)|L Gilbert; C Cavalli; B Garcia; A Uribe; K Senga; J Hoffman; N McLean; J Bennett; D Rasmussen; M Meyer(I); C Early(I); J Steele(I); C Ponce(I); D Williams(I); R Pepiot(I); R Suarez(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; W Abreu; M Moniak; L Butler; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|B Joyce; J Morillo; K Anderson; B Hudson; R Detmers; R Johnson; D Smith; B Baker; D Bednar; R Sasaki(I); B Ashcraft(I); S Bieber(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|S Jones; H Hernandez; J Soto; J Adell; M Clark(R); A Barger(I)|Y Alvarez|Y Gomez; I Seymour; M Miller; J Jones; P Lambert; F Peralta; C Sanchez; G Taylor; D Cease; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|M Harris II; H Bolte; J Wood; A.J. Ewing|J Wetherholt; T Story(R)|M King; J Latz; G Williams; T Bradley; T Scott; H Harris; M Gore; M McGreevy; W Warren; E Alvarado(R); T Yesavage(I); G Crochet(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; K Tucker; J Mangum; E Valdez; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|S Burke; A Munoz; R Ray; R Iglesias; S Alcantara; B Young; H Wesneski; T Glasnow; C Scott; S Drohan(R); R O'Brien(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Benge; C DeLauter; C Bellinger; W Langford; D Lile(R)|K Schwarber|Z Matthews; T Rogers; C Javier; G Rodriguez; A Painter; Z Thornton; C Schlittler; L Varland; J Duran; J Lopez(R); H Greene(I); E Hancock(I); E Uceta(I); K Bradish(I); C Estevez(I); M Abel(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|D Canzone; S Kwan; G Mitchell; C Carroll; A Judge(R)|Y Diaz|D Kremer; E Perez; T Melton; A Chapman; T Mahle; L Henderson; S Gray; W Urena; J deGrom; D May(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|M Garcia; C Mead(I)|B Lee|E Duran|J Naylor|T Hernandez; J Walker; K Stowers; J McCarthy|C Yelich; T Grisham(I); J Tibbs(M)|M Wacha; G Graceffo; B Headrick; B Woo; C Sale; S Cruz; C Patrick; E Pagan; R Garcia; A Pallante(R); E Rodriguez(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; R Acuna Jr.; M Trout; V Mesa Jr.; L Robert(I)|V Pasquantino|F Valdez; S Lugo; P Messick; G Kirby; T Megill; S Arrighetti; M Perez; N Cameron; L Webb; S Ohtani (Pitcher)(R); S Strider(I); R Weathers(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|R Anthony; R Greene; I Happ; C Carrigg; W Jenkins(R)|T Rumfield|F Griffin; G Cole; K Montero; B Snell; P Skenes; J Webb; P Tolle; S Imanaga; Z Wheeler; S McClanahan(I); B Woodruff(I)
