source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-15T15:03:24
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|B Doyle; J Rodriguez; M Moniak; O Cruz; R O'Hearn(I)|N Hoerner; J Baez(M)|J Soriano; J Luzardo; H Brown; M Perez; J Latz; J Hader; L Roupp; M Gore; R Suarez; C Beeter(R); J Romano(R); T Santillan(I); D Palencia(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|J Altuve; S Suzuki; R Arozarena; B Reynolds|S Ohtani (Batter)|E Diaz; S Manaea; A Ashby; K Jansen; T Bibee; M Fried; N Martinez; Y Yamamoto; C Holmes; K Gausman(R); J Flaherty(I); C Rodon(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|M Dubon; B Nimmo; J Hoo Lee; G Springer|D Baldwin; J.P. Crawford(I)|G Whitlock; A Morejon; M Boyd; C Mize; B Singer; S Baz; T Skubal; C Smith; J Misiorowski; B King(R); B Brown(I); J Ryan(I); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|T Soderstrom|J Duran; C Smith; H Ramos; J Chourio; J Marsee(R); J Caballero(R)|B Montgomery|A Uribe; J Hoffman; J Bennett; W Warren; D Rasmussen; L Gilbert; C Cavalli; N McLean; B Garcia; D Williams(I); N Lodolo(I); R Suarez(I); M Meyer(I); C Early(I); S Schwellenbach(I); R Pepiot(I); J Steele(I); C Ponce(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|B Witt|J Chisholm Jr.|M Vargas|W Abreu; L Butler; J Merrill; C Rafaela; C Simpson(R); B Buxton(I)|B Turang|R Lowder; D Bednar; B Baker; R Detmers; B Ober; L Castillo; D Peterson; B Ashcraft; B Miller; R Sasaki(R); Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; S Jones; J Adell; M Clark; J Soto(I); A Barger(I)|Y Alvarez|D Cease; I Seymour; K Harrison; J Jobe; M Miller; G Taylor; C Sanchez; Y Gomez; B Pfaadt; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|Z Gelof; C Pratt(I); T Story(I)|S Torkelson|B Marsh; J Bauers; M Harris II; J.J. Bleday; J Wood(I)|M McLain|K Leahy; L Weaver; B Elder; H Harris; G Williams; T Wells; M King; C Burns; T Bradley; G Soto(R); T Scott(R); R Helsley(I); G Crochet(I); T Yesavage(I); R Nelson(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|A Pages; E Valdez; K Tucker; J Mangum; B Rooker(I)|T Tawa; K Karros(I); G Stanton(I)|B Young; H Wesneski; C Scott; S Drohan; R Iglesias; R Ray; S Burke; S Alcantara; A Munoz; D Martin(R); R O'Brien(R); K Bubic(I); T Glasnow(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto; T Rumfield(R)|W Langford; C Benge; D Lile; C DeLauter; C Bellinger(I)|K Schwarber|G Rodriguez; K Bradish; J Duran; E Hancock; C Schlittler; T Rogers; A Abbott; Z Thornton; L Varland; M Abel(I); E Uceta(I); H Greene(I); C Estevez(I); Q Mathews(M)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|D Canzone; G Conine; S Kwan; C Carroll; K Clemens(R); A Judge(I)|Y Diaz|D May; A Chapman; W Urena; E Miller; T Mahle; E Perez; L Henderson; S Gray; T Melton; J deGrom(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|W Adames|E Duran|J Walker; T Hernandez; T Grisham; J McCarthy; K Stowers(I)|J Bell; C Yelich(R); J Tibbs(M)|J.T. Ginn; A Pallante; C Sale; E Rodriguez; S Cruz; E Pagan; M Wacha; K Montero; B Woo; G Soriano(R); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|P Crow-Armstrong; M Trout; L Robert; V Mesa Jr.; J Dominguez(M)|R Acuna Jr.|T Megill; G Kirby; R Weathers; L Webb; C Prielipp; P Messick; F Valdez; N Cameron; S Natera Jr.; S Lugo(R); S Strider(I); P Sewald(M)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|C Carrigg; A.J. Ewing; Z Veen; I Happ; R Anthony(I); R Greene(I)|D Varsho|P Skenes; P Fairbanks; F Griffin; S Imanaga; B Snell; G Cole; J Webb; Z Wheeler; P Tolle; J Wrobleski(R); G Jump(R); N Pivetta(I); B Woodruff(I); S McClanahan(I)
