source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-27T06:07:48
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|J Rodriguez; M Moniak; J Baez; O Cruz; R O'Hearn(I)|B Stott|H Brown; R Suarez; J Latz; M Montgomery; M Gore; J Soriano; A Nola; J Hader; J Luzardo; C Beeter(R); J Romano(R); T Santillan(I); D Palencia(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|R Arozarena; J Altuve; S Suzuki; B Reynolds|S Ohtani (Batter)|K Jansen; Y Yamamoto; K Gausman; A Ashby; C Rodon; C Holmes; B Joyce; T Bibee; N Martinez; S Manaea(R); E Diaz(I); J Flaherty(I); M Fried(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; B Nimmo; G Springer; M Dubon|D Baldwin; J.P. Crawford(I)|B Singer; T Skubal; M Boyd; A Morejon; C Smith; S Baz; D Lee; J Misiorowski; C Mize; G Whitlock(I); J Leiter(I); J Ryan(I); B Brown(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|J Caballero; S Antonacci(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Duran; C Smith; J Marsee; J Chourio; H Ramos(R)|B Montgomery|L Gilbert; N McLean; C Cavalli; J Bennett; K Senga; D Rasmussen; J Hoffman; N Lodolo; B Garcia; M Meyer(I); R Pepiot(I); S Schwellenbach(I); R Suarez(I); J Steele(I); D Williams(I); A Uribe(I); C Early(I); C Ponce(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|J Merrill; W Abreu; L Butler; C Rafaela|C Simpson; B Buxton(R); K Marte(I)|B Miller; R Detmers; D Bednar; R Sasaki; B Ashcraft; S Ohtani (Pitcher); J Cantillo; B Baker; L Roupp; S Bieber(I); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; S Jones; J Adell; M Clark; J Soto(I); A Barger(I)|Y Alvarez|B Pfaadt; I Seymour; G Taylor; K Harrison; J Jobe; M Miller; C Sanchez; Y Gomez; D Cease; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|C Pratt; T Story(I)|N Arenado|J Bauers; M Harris II; J.J. Bleday; B Marsh; J Wood(I)|M McLain|M King; K Anderson; T Scott; M McGreevy; H Harris; C Burns; G Williams; T Bradley; B Elder; T Wells(R); K Leahy(R); T Yesavage(I); R Helsley(I); G Crochet(I); R Nelson(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; J Mangum; E Valdez; T Tawa; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|S Alcantara; R Ray; S Drohan; A Munoz; R Iglesias; C Scott; B Young; S Burke; T Glasnow; H Wesneski(R); R O'Brien(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Bellinger; C Benge; W Langford; C DeLauter; D Lile(R)|K Schwarber|T Rogers; J Duran; Z Thornton; L Varland; J Lopez; A Abbott; E Hancock; K Bradish; C Schlittler; C Estevez(I); E Uceta(I); M Abel(I); H Greene(I)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|S Kwan; G Conine; C Carroll; D Canzone; A Judge(I)|Y Diaz|S Gray; D May; T Melton; E Perez; W Urena; L Henderson; E Miller; A Chapman; J deGrom; T Mahle(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|J Walker; T Grisham; T Hernandez; J McCarthy|K Stowers; C Yelich(R); J Tibbs(M)|J.T. Ginn; E Rodriguez; E Pagan; B Headrick; R Garcia; K Montero; M Wacha; S Cruz; C Sale; B Woo(R); J Musgrove(I); A Pallante(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|P Crow-Armstrong; L Robert; R Acuna Jr.; M Trout; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|F Valdez; P Messick; L Webb; C Prielipp; R Weathers; G Kirby; N Cameron; T Megill; S Natera Jr.; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|A.J. Ewing; I Happ; C Carrigg; D Varsho; Z Veen(R); R Anthony(I); R Greene(I)|T Rumfield|F Griffin; G Cole; B Snell; S McClanahan; P Tolle; G Jump; Z Wheeler; P Skenes; J Webb; S Imanaga(R); P Fairbanks(I); B Woodruff(I); N Pivetta(I); J Wrobleski(M)
