source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-28T06:06:12
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|M Moniak; J Rodriguez; J Baez; O Cruz; R O'Hearn(I)|B Stott|J Latz; R Suarez; J Soriano; M Montgomery; H Brown; A Nola; M Gore; J Luzardo; J Hader; J Romano(R); C Beeter(R); T Santillan(I); D Palencia(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|B Reynolds; J Altuve; S Suzuki; R Arozarena|S Ohtani (Batter)|C Holmes; N Martinez; B Joyce; A Ashby; T Bibee; K Jansen; C Rodon; K Gausman; Y Yamamoto; S Manaea(R); M Fried(I); E Diaz(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; G Springer; M Dubon; B Nimmo|D Baldwin; J.P. Crawford(I)|M Boyd; S Baz; J Misiorowski; C Mize; T Skubal; C Smith; D Lee; Z Matthews; A Morejon; G Whitlock(I); J Leiter(I); J Ryan(I); B Brown(I); S Smith(M); B King(M)
Guillotine|G Moreno|J Caglianone|J Caballero; S Antonacci(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Duran; J Marsee; C Smith; H Ramos(R)|B Montgomery|N McLean; N Lodolo; K Senga; B Garcia; C Cavalli; D Rasmussen; J Bennett; J Hoffman; L Gilbert; D Williams(I); C Early(I); J Steele(I); R Suarez(I); A Uribe(I); S Schwellenbach(I); R Pepiot(I); C Ponce(I); M Meyer(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|L Butler; C Rafaela; J Merrill; W Abreu|C Simpson; B Buxton(R); K Marte(I)|S Ohtani (Pitcher); R Detmers; B Baker; L Roupp; D Bednar; B Ashcraft; R Sasaki; B Miller; J Cantillo; Y Kikuchi(I); E Cabrera(I); S Bieber(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; M Clark; J Adell; S Jones; A Barger(I); J Soto(I)|Y Alvarez|Y Gomez; D Cease; G Taylor; M Miller; B Pfaadt; J Jobe; K Harrison; C Sanchez; I Seymour; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|C Pratt; T Story(I)|N Arenado|B Marsh; M Harris II; J.J. Bleday; J Bauers; J Wood(I)|M McLain|T Bradley; K Anderson; T Scott; B Elder; H Harris; C Burns; G Williams; M King; M McGreevy; K Leahy(R); T Wells(R); R Nelson(I); G Crochet(I); T Yesavage(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; J Mangum; E Valdez; T Tawa; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|S Burke; S Alcantara; C Scott; R Ray; R Iglesias; A Munoz; B Young; S Drohan; T Glasnow; R O'Brien(R); H Wesneski(R); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Benge; C Bellinger; C DeLauter; W Langford; D Lile(R)|K Schwarber|Z Thornton; E Hancock; J Lopez; C Schlittler; A Abbott; L Varland; J Duran; T Rogers; K Bradish; E Uceta(I); C Estevez(I); H Greene(I); M Abel(I)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|S Kwan; D Canzone; G Conine; C Carroll; A Judge(I)|Y Diaz|A Chapman; W Urena; L Henderson; J deGrom; D May; S Gray; E Perez; T Melton; E Miller; T Mahle(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|T Grisham; J Walker; J McCarthy; T Hernandez|K Stowers; C Yelich(R); J Tibbs(M)|C Sale; K Montero; E Rodriguez; J.T. Ginn; M Wacha; E Pagan; S Cruz; B Headrick; R Garcia; B Woo(R); A Pallante(I); J Musgrove(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|R Acuna Jr.; L Robert; M Trout; P Crow-Armstrong; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|G Kirby; T Megill; C Prielipp; R Weathers; S Natera Jr.; N Cameron; L Webb; P Messick; F Valdez; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|D Varsho; I Happ; C Carrigg; A.J. Ewing; Z Veen(R); R Greene(I); R Anthony(I)|T Rumfield|J Webb; B Snell; P Tolle; S McClanahan; G Cole; G Jump; Z Wheeler; F Griffin; P Skenes; S Imanaga(R); N Pivetta(I); B Woodruff(I); P Fairbanks(I); J Wrobleski(M)
