source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-04T07:21:53
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|J Baez; O Cruz; J Rodriguez; A.J. Ewing; R O'Hearn(I)|B Stott|A Nola; H Brown; C Quantrill; R Suarez; W Buehler; M Gore; J Soriano; J Hader; J Luzardo; J Latz(R); M Montgomery(R); D Palencia(I); N Eovaldi(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|J Altuve; B Reynolds; R Arozarena; S Suzuki|S Ohtani (Batter)|Y Yamamoto; C Holmes; B Joyce; C Rodon; T Bibee; M Fried; K Jansen; N Martinez; K Gausman; A Ashby(R); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; B Nimmo; G Springer; M Dubon|D Baldwin|M Boyd; C Mize; Z Matthews; A Morejon; T Skubal; C Smith; G Whitlock; D Lee; J Misiorowski; S Baz(R); B Brown(I); J Ryan(I); J Leiter(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Duran; J Marsee; C Smith; J Chourio; H Ramos(R)|B Montgomery|D Rasmussen; K Senga; J Bennett; C Cavalli; B Garcia; L Gilbert; N McLean; J Hoffman; A Uribe; D Williams(I); C Ponce(I); R Suarez(I); J Steele(I); S Schwellenbach(I); R Pepiot(I); C Early(I); M Meyer(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|C Mayo; M Machado(R)|B Witt|J Chisholm Jr.|M Vargas|J Merrill; L Butler; C Rafaela; W Abreu|S Torkelson; C Simpson(R); B Buxton(I); K Marte(I)|D Bednar; J Cantillo; B Hudson; C Beeter; J Martinez; B Ashcraft; R Detmers; B Baker; D Smith; E Cabrera(I); S Bieber(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; S Jones; H Hernandez; J Soto; M Clark(R); A Barger(I)|Y Alvarez|C Sanchez; D Cease; K Harrison; P Lambert; F Peralta; G Taylor; M Miller; Y Gomez; I Seymour; B Pfaadt(R); R Snelling(I)
Maga Doge|H Goodman|R Devers|M McLain|Z Gelof|C.J. Abrams|C Pratt|N Arenado|J Wood; M Harris II; B Marsh; J Bauers|T Story; J Wetherholt(I)|G Williams; T Scott; K Anderson; B Elder; T Bradley; C Burns; E Alvarado; M King; M McGreevy; T Wells(R); H Harris(R); T Yesavage(I); R Nelson(I); R Helsley(I); G Crochet(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; E Valdez; K Tucker; T Tawa; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|C Scott; S Alcantara; R Ray; B Young; S Burke; S Drohan; A Munoz; R Iglesias; T Glasnow; H Wesneski(R); R O'Brien(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|N Nunez; G Lombard Jr.(R)|K Okamoto|C DeLauter; W Langford; D Lile; C Bellinger; C Benge(R)|K Schwarber|C Schlittler; J Duran; T Rogers; A Abbott; L Varland; J Lopez; A Painter; K Bradish; Z Thornton; C Estevez(I); E Hancock(I); E Uceta(I); M Abel(I); H Greene(I)
Runtime Terror|W Smith|P Alonso|K Clemens|P Ramirez|C Montgomery|N Sogard; D Swanson(I)|M Busch; J Jung(I)|T Peters; D Canzone; S Kwan; C Carroll; A Judge(I)|Y Diaz|E Perez; T Mahle; L Henderson; S Gray; T Melton; L Gil; A Chapman; J deGrom; W Urena; D May(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|T Hernandez; T Grisham; J McCarthy; J Walker|K Stowers; C Yelich(R); J Tibbs(M)|E Pagan; C Sale; J.T. Ginn; K Montero; B Headrick; M Wacha; S Cruz; E Rodriguez; R Garcia; B Woo(R); J Musgrove(I); A Pallante(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz|P Crow-Armstrong; R Acuna Jr.; L Robert; M Trout; V Mesa Jr.(I); J Dominguez(M)|V Pasquantino|M Perez; L Webb; D Duarte; T Megill; S Arrighetti; P Messick; G Kirby; N Cameron; F Valdez; S Ohtani (Pitcher)(R); S Lugo(R); S Strider(I); S Natera Jr.(I); R Weathers(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; W Jenkins; R Anthony; D Varsho; C Carrigg(R); R Greene(I)|T Rumfield|S McClanahan; F Griffin; B Snell; J Webb; G Jump; Z Wheeler; G Cole; P Tolle; P Skenes; S Imanaga(R); N Pivetta(I); P Fairbanks(I); B Woodruff(I); J Wrobleski(M)
