source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-22T08:28:54
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|Y Diaz|B Harper|B Lowe|J Caminero|X Bogaerts|C Montgomery|R O'Hearn|J Sanoja; J Rodriguez; O Cruz; A Burleson; J Baez(R)|S Taylor|C Ragans; H Brown; C Burns; D Peterson; J Jobe; L Roupp; W Buehler; C Quantrill; J Luzardo
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|B Reynolds; R Arozarena; S Suzuki; J Altuve|J De Paula; S Ohtani (Batter)(I)|Y Yamamoto; M Fried; C Rodon; N Martinez; K Jansen; K Gausman; E Diaz; C Holmes; Y Kikuchi; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|M Dubon; B Nimmo; J Hoo Lee; G Springer|D Baldwin|C Mize; C Smith; J Misiorowski; G Whitlock; A Morejon; M Boyd; T Skubal; J Ryan; D Lee; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|C Mayo|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Marsee; J Caglianone; H Ramos|G Perdomo; B Montgomery(R)|L Gilbert; B Garcia; C Cavalli; D Rasmussen; R Suarez; J Hoffman; A Uribe; N McLean; K Senga; D Williams(I); J Steele(I); M Meyer(I); C Ponce(I); S Schwellenbach(I); R Pepiot(I); C Early(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|W Abreu; M Moniak; L Butler; J Merrill; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|K Anderson; J Morillo; B Joyce; D Smith; R Johnson; R Detmers; B Baker; B Hudson; D Bednar; B Ashcraft(I); S Bieber(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|S Jones; J Soto; J Adell; H Hernandez; M Clark(R); A Barger(I)|Y Alvarez|F Peralta; I Seymour; D Cease; P Lambert; C Sanchez; G Taylor; Y Gomez; M Miller; J Jones; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|A.J. Ewing; J Wood; H Bolte; M Harris II|J Wetherholt; T Story(R)|M Gore; M McGreevy; G Williams; H Harris; T Bradley; W Warren; J Latz; M King; T Scott; E Alvarado(R); R Helsley(I); T Yesavage(I); G Crochet(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; K Tucker; E Valdez; J Mangum; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|H Wesneski; R Iglesias; R Ray; T Glasnow; C Scott; S Alcantara; B Young; A Munoz; S Burke; R O'Brien(R); S Drohan(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C DeLauter; W Langford; C Benge; C Bellinger; D Lile(R)|K Schwarber|Z Thornton; L Varland; C Javier; Z Matthews; T Rogers; G Rodriguez; A Painter; C Schlittler; J Duran; J Lopez(R); H Greene(I); E Hancock(I); K Bradish(I); E Uceta(I); C Estevez(I); M Abel(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|D Canzone; G Mitchell; S Kwan; C Carroll; A Judge(R)|Y Diaz|S Manaea; T Mahle; L Henderson; D May; A Abbott; S Gray; W Urena; E Perez; J deGrom; M Soroka(R); C Dollander(I)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|M Garcia; C Mead(I)|B Lee|E Duran|J Naylor|J McCarthy; T Hernandez; J Walker; K Stowers|C Yelich; T Grisham(I); J Tibbs(M)|S Cruz; B Headrick; R Garcia; C Patrick; G Graceffo; M Wacha; B Woo; E Pagan; C Sale; E Rodriguez(R); A Pallante(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|M Trout; P Crow-Armstrong; R Acuna Jr.; V Mesa Jr.; L Robert(I)|V Pasquantino|L Webb; T Megill; M Perez; S Lugo; F Valdez; G Kirby; P Messick; S Arrighetti; N Cameron; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; W Castro(I); C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|R Anthony; R Greene; C Carrigg; I Happ; W Jenkins(R)|T Rumfield|F Griffin; B Snell; P Tolle; S Imanaga; P Skenes; J Webb; Z Wheeler; K Montero; G Cole; S McClanahan(I); B Woodruff(I)
