source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-26T07:03:04
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|Y Diaz|B Harper|B Lowe|J Caminero|X Bogaerts|C Montgomery|R O'Hearn|J Sanoja; A Burleson; J Rodriguez; O Cruz; J Baez(R)|S Taylor|C Burns; C Ragans; L Roupp; J Jobe; W Buehler; J Luzardo; H Brown; C Quantrill; D Peterson
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee|J Pena|C Seager|W Contreras|B Reynolds; J Altuve; S Suzuki; R Arozarena|S Ohtani (Batter); J De Paula(R)|Y Kikuchi; M Fried; K Jansen; C Rodon; Y Yamamoto; K Gausman; C Holmes; N Martinez; E Diaz; A Ashby(R); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; B Nimmo; M Dubon; G Springer|D Baldwin|J Misiorowski; T Skubal; D Lee; M Boyd; A Morejon; G Whitlock; C Smith; C Mize; J Ryan; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|C Mayo|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Caglianone; J Marsee; H Ramos|G Perdomo; B Montgomery(R)|J Hoffman; A Uribe; C Cavalli; D Rasmussen; R Suarez; K Senga; N McLean; B Garcia; L Gilbert; M Meyer(I); J Steele(I); S Schwellenbach(I); R Pepiot(I); D Williams(I); C Early(I); C Ponce(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; L Butler; M Moniak; W Abreu; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|D Smith; D Bednar; B Joyce; R Johnson; J Morillo; K Anderson; R Detmers; B Baker; B Hudson; R Sasaki(I); B Ashcraft(I); S Bieber(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper(I)|L Keaschall|E Suarez; N Kurtz(I)|H Hernandez; J Adell; J Soto; S Jones; M Clark(R); A Barger(I)|Y Alvarez|C Sanchez; F Peralta; P Lambert; M Miller; G Taylor; D Cease; J Jones; I Seymour; Y Gomez; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|A.J. Ewing; J Wood; M Harris II; H Bolte|J Wetherholt; T Story(R)|H Harris; G Williams; M Gore; J Latz; T Bradley; M King; M McGreevy; W Warren; T Scott; E Alvarado(R); G Crochet(I); T Yesavage(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|K Tucker; E Valdez; T Tawa; J Mangum; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|C Scott; R Iglesias; H Wesneski; S Burke; T Glasnow; B Young; R Ray; S Alcantara; A Munoz; R O'Brien(R); S Drohan(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Bellinger; W Langford; C DeLauter; C Benge; D Lile(R)|K Schwarber|Z Matthews; C Javier; Z Thornton; C Schlittler; G Rodriguez; J Duran; A Painter; T Rogers; L Varland; J Lopez(R); E Hancock(I); C Estevez(I); E Uceta(I); K Bradish(I); H Greene(I); M Abel(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|D Swanson|P Ramirez|M Busch|C Carroll; S Kwan; D Canzone; G Mitchell; A Judge(R)|Y Diaz|J deGrom; S Gray; M Soroka; E Perez; L Henderson; W Urena; A Abbott; T Mahle; S Manaea; C Dollander(I)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|M Garcia; C Mead(I)|B Lee|E Duran|J Naylor|T Hernandez; J Walker; K Stowers; J McCarthy|C Yelich; J Tibbs(M)|B Headrick; B Woo; C Patrick; M Wacha; E Pagan; G Graceffo; C Sale; S Cruz; R Garcia; A Pallante(R); E Rodriguez(R)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; V Mesa Jr.; M Trout; R Acuna Jr.; L Robert(I)|V Pasquantino|T Megill; S Lugo; N Cameron; P Messick; S Arrighetti; G Kirby; F Valdez; L Webb; M Perez; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|R Greene; R Anthony; I Happ; C Carrigg; W Jenkins(R)|T Rumfield|P Skenes; J Webb; S Imanaga; B Snell; G Cole; K Montero; Z Wheeler; P Tolle; F Griffin; S McClanahan(I); B Woodruff(I)
