source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-03T09:19:22
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|O Cruz; M Moniak; J Rodriguez; T Ward; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|J Luzardo; J Latz; R Suarez; C Beeter; J Romano; J Soriano; N Eovaldi; J Hader; H Brown; L Roupp(R); M Gore(R); D Palencia(I); T Santillan(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R); B Donovan(I)|M Murakami|E Ruiz; R Arozarena; S Suzuki; B Reynolds; J Altuve(R)|S Ohtani (Batter)|K Jansen; M Fried; T Bibee; A Ashby; E Diaz; S Manaea; N Martinez; Y Yamamoto; K Gausman; C Rodon(I); J Flaherty(I); C Holmes(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|J Bell|B Nimmo; M Dubon; G Springer; B Marsh|D Baldwin; J.P. Crawford(I)|G Whitlock; J Misiorowski; A Morejon; M Boyd; T Skubal; B Singer; J Ryan; C Mize; C Smith; B King(R); J Leiter(I); B Brown(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|J Caballero|H Ramos; T Soderstrom; J Duran; J Chourio; C Smith(R); J Marsee(R)|B Montgomery|D Rasmussen; C Cavalli; N McLean; B Garcia; J Cantillo; J Bennett; D Williams; L Gilbert; W Warren; R Suarez(I); C Early(I); C Ponce(I); J Steele(I); R Pepiot(I); N Lodolo(I); M Meyer(I); S Schwellenbach(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|J Merrill; L Butler; C Rafaela; C Simpson; W Abreu(R); B Buxton(I)|J Chisholm Jr.|B Baker; B Miller; J Jones; G Jax; A Nola; R Sasaki; B Ashcraft; D Bednar; R Detmers; E Sheehan(R); Y Kikuchi(I); E Cabrera(I)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|J Wilson|L Keaschall|N Kurtz; C Encarnacion-Strand(R); E Suarez(R)|L Thomas; J Adell; M Clark; H Hernandez; J Soto(I); A Barger(I); S Jones(M)|Y Alvarez|B Pfaadt; P Lambert; G Taylor; I Seymour; C Sanchez; D Cease; F Peralta; Y Gomez; M Miller; R Snelling(I); K Harrison(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; T Story(I); Z Gelof(I)|S Torkelson|M Harris II; J Wood; J.J. Bleday; J Bauers|M McLain; B Eldridge(R)|M King; B Elder; G Williams; T Bradley; T Wells; C Burns; M McGreevy; T Yesavage; G Soto; H Harris(R); R Nelson(I); R Helsley(I); G Crochet(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; A Pages; E Valdez; K Tucker; B Rooker(I)|K Karros; G Stanton(I)|S Burke; A Munoz; B Sproat; R Iglesias; S Drohan; R Ray; S Alcantara; C Scott; D Martin; R O'Brien(R); B Young(R); T Glasnow(I); K Bubic(I)
Rieken Havoc|C Jensen|J Aranda|N Nunez|K Okamoto|F Lindor|X Bogaerts|J Ramirez; T Rumfield(R)|D Lile; W Langford; C Benge; L Robert; C DeLauter(R); C Bellinger(I)|K Schwarber|L Varland; J Duran; T Scott; T Rogers; K Bradish; Z Thornton; E Hancock; H Greene; C Schlittler; C Estevez(I); E Uceta(I); M Abel(I); Q Mathews(M)
Runtime Terror|D Rushing; W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|K Clemens; C Carroll; D Canzone; S Kwan; A Judge(I)|Y Diaz|A Chapman; J deGrom; L Henderson; T Melton; S Gray; S Cecconi; E Perez; E Miller; W Urena; D May(R); S Ohtani (Pitcher)(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|W Adames|E Duran|K Stowers; T Grisham; J Walker; J McCarthy|T Hernandez; C Yelich(R); J Tibbs(M)|K Montero; A Pallante; E Pagan; E Rodriguez; S Cruz; B Woo; G Soriano; M Wacha; C Sale; J.T. Ginn(I); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|M Trout; P Crow-Armstrong; J Dominguez; V Mesa Jr.|R Acuna Jr.|F Valdez; R Blanco; G Kirby; S Dominguez; R Weathers; L Webb; P Messick; T Megill; P Sewald; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|A.J. Ewing; C Carrigg; R Greene; I Happ; R Anthony(I)|D Varsho|P Tolle; S Imanaga; P Fairbanks; J Wrobleski; P Skenes; J Webb; C Kilian; G Cole; Z Wheeler; S McClanahan(R); F Griffin(R); B Snell(I); B Woodruff(I); N Pivetta(I)
