source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-09T13:54:04
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|J Rodriguez; O Cruz; M Moniak; T Ward; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|J Luzardo; M Gore; R Suarez; J Romano; H Brown; N Eovaldi; C Beeter; J Hader; J Latz; J Soriano(R); L Roupp(R); T Santillan(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|R Arozarena; B Reynolds; J Altuve; S Suzuki; E Ruiz(R)|S Ohtani (Batter)|N Martinez; C Holmes; K Jansen; T Bibee; K Gausman; M Fried; E Diaz; A Ashby; Y Yamamoto; J Flaherty(I); C Rodon(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; M Dubon; G Springer; B Nimmo|D Baldwin; J.P. Crawford(I)|G Whitlock; A Morejon; S Baz; C Smith; M Boyd; C Mize; B Singer; J Misiorowski; T Skubal; B King(R); J Ryan(I); J Leiter(I); B Brown(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|T Soderstrom|C Smith; J Chourio; J Duran; H Ramos; J Caballero(R); J Marsee(R)|B Montgomery|J Cantillo; B Garcia; L Gilbert; J Bennett; D Rasmussen; D Williams; J Hoffman; C Cavalli; N McLean; S Schwellenbach(I); R Pepiot(I); C Ponce(I); M Meyer(I); J Steele(I); R Suarez(I); C Early(I); N Lodolo(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|W Abreu; C Rafaela; L Butler; J Merrill; C Simpson(R); B Buxton(I)|J Chisholm Jr.|H Dobbins; D Bednar; B Ashcraft; B Baker; A Painter; R Sasaki; R Detmers; J Jones; D Kremer; B Miller(R); Y Kikuchi(I); E Cabrera(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|L Thomas; J Adell; H Hernandez; M Clark; S Jones(R); A Barger(I); J Soto(I)|Y Alvarez|J Jobe; M Miller; D Cease; P Lambert; I Seymour; B Pfaadt; Y Gomez; G Taylor; C Sanchez; F Peralta(R); K Harrison(I); R Snelling(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; T Story(I); Z Gelof(I)|S Torkelson|M Harris II; J Bauers; B Marsh; J.J. Bleday; J Wood(I)|M McLain|T Bradley; T Wells; M King; B Elder; G Williams; M McGreevy; G Soto; H Harris; C Burns; L Weaver(R); K Leahy(R); G Crochet(I); R Helsley(I); T Yesavage(I); R Nelson(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|E Valdez; A Pages; J Mangum; K Tucker; B Rooker(I)|K Karros; G Stanton(I)|R Iglesias; H Wesneski; S Drohan; R Ray; S Alcantara; D Martin; A Munoz; S Burke; C Scott; R O'Brien(R); B Young(R); K Bubic(I); T Glasnow(I); B Sproat(M)
Rieken Havoc|C Jensen|T Rumfield; J Aranda(R)|N Nunez|K Okamoto|F Lindor|G Lombard Jr.; X Bogaerts(R)|J Ramirez|W Langford; D Lile; C DeLauter; C Benge; C Bellinger(I)|K Schwarber|E Hancock; H Greene; K Bradish; T Rogers; Z Thornton; J Duran; T Scott; L Varland; C Schlittler; M Abel(I); C Estevez(I); E Uceta(I); Q Mathews(M)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|S Kwan; C Carroll; D Canzone; K Clemens; A Judge(I)|Y Diaz|J deGrom; E Perez; E Miller; S Gray; D May; T Melton; W Urena; L Henderson; A Chapman; S Ohtani (Pitcher)(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|W Adames|E Duran|J McCarthy; J Walker; T Hernandez; K Stowers|T Grisham; C Yelich(R); J Tibbs(M)|M Wacha; E Pagan; B Woo; C Sale; K Montero; J.T. Ginn; A Pallante; S Cruz; E Rodriguez; G Soriano(R); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz; V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith|V Mesa Jr.; M Trout; J Dominguez; P Crow-Armstrong|R Acuna Jr.|P Sewald; G Kirby; C Prielipp; L Webb; P Messick; T Megill; N Cameron; F Valdez; R Weathers; R Blanco(R); S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|R Greene; A.J. Ewing; C Carrigg; I Happ; R Anthony(I)|D Varsho|P Tolle; S Imanaga; G Cole; Z Wheeler; C Kilian; P Fairbanks; P Skenes; J Wrobleski; J Webb; F Griffin(R); B Snell(I); S McClanahan(I); N Pivetta(I); B Woodruff(I)
