source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-25T06:25:37
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|N Hoerner|A Burleson|J Rodriguez; O Cruz; J Baez; M Moniak; R O'Hearn(I)|B Stott|A Nola; H Brown; M Gore; J Luzardo; M Montgomery; J Soriano; J Hader; J Latz; R Suarez; J Romano(R); C Beeter(R); N Eovaldi(I); T Santillan(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|S Suzuki; B Reynolds; J Altuve; R Arozarena|S Ohtani (Batter)|A Ashby; B Joyce; C Holmes; N Martinez; C Rodon; Y Yamamoto; T Bibee; K Gausman; K Jansen; S Manaea(R); E Diaz(I); J Flaherty(I); M Fried(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|G Springer; B Nimmo; J Hoo Lee; M Dubon|D Baldwin; J.P. Crawford(I)|T Skubal; S Baz; J Misiorowski; C Smith; D Lee; M Boyd; A Morejon; C Mize; B Singer; J Ryan(I); J Leiter(I); B Brown(I); G Whitlock(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|J Caballero; S Antonacci(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Chourio; J Marsee; C Smith; J Duran; H Ramos(R)|B Montgomery|N Lodolo; L Gilbert; J Hoffman; C Cavalli; K Senga; J Bennett; B Garcia; D Rasmussen; N McLean; S Schwellenbach(I); C Early(I); A Uribe(I); C Ponce(I); D Williams(I); M Meyer(I); J Steele(I); R Pepiot(I); R Suarez(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|W Abreu; J Merrill; B Buxton; C Rafaela; C Simpson(R)|L Butler; K Marte(I)|S Ohtani (Pitcher); B Baker; B Miller; B Ashcraft; L Roupp; S Bieber; D Bednar; R Sasaki; R Detmers; J Cantillo(R); E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|S Jones; H Hernandez; M Clark; J Adell; A Barger(I); J Soto(I)|Y Alvarez|I Seymour; J Jobe; M Miller; G Taylor; K Harrison; D Cease; C Sanchez; B Pfaadt; Y Gomez; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|C Pratt; T Story(I)|N Arenado|M Harris II; B Marsh; J.J. Bleday; J Bauers; J Wood(I)|M McLain|H Harris; M McGreevy; T Scott; K Anderson; G Williams; K Leahy; M King; T Bradley; C Burns; B Elder(R); T Wells(R); R Nelson(I); T Yesavage(I); G Crochet(I); R Helsley(I)
Magnum GI|F Alvarez; S Basallo(I)|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; E Valdez; T Tawa; K Tucker; B Rooker(I)|V Guerrero Jr.; A Pages(R); K Karros(I); G Stanton(I)|R Ray; S Alcantara; S Drohan; T Glasnow; A Munoz; R Iglesias; B Young; S Burke; C Scott; R O'Brien(R); H Wesneski(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|W Langford; C Benge; C DeLauter; C Bellinger; D Lile(R)|K Schwarber|J Lopez; L Varland; K Bradish; A Abbott; E Hancock; C Schlittler; T Rogers; J Duran; Z Thornton; M Abel(I); C Estevez(I); H Greene(I); E Uceta(I)
Runtime Terror|A Wells; D Rushing(I); W Smith(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|D Canzone; G Conine; C Carroll; S Kwan; A Judge(I)|Y Diaz|D May; L Henderson; J deGrom; S Gray; W Urena; E Perez; A Chapman; T Melton; E Miller; T Mahle(R); C Dollander(I); R Ryan(M); L Gil(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|J Walker; J McCarthy; T Grisham; T Hernandez|K Stowers; C Yelich(R); J Tibbs(M)|J.T. Ginn; R Garcia; K Montero; M Wacha; E Pagan; B Headrick; C Sale; S Cruz; E Rodriguez; B Woo(R); J Musgrove(I); A Pallante(I); M Soroka(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|P Crow-Armstrong; R Acuna Jr.; M Trout; L Robert; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|L Webb; F Valdez; C Prielipp; R Weathers; N Cameron; T Megill; G Kirby; S Natera Jr.; P Messick; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|I Happ; C Carrigg; A.J. Ewing; D Varsho; Z Veen(R); R Greene(I); R Anthony(I)|T Rumfield|Z Wheeler; G Cole; P Fairbanks; J Webb; S Imanaga; B Snell; P Skenes; F Griffin; P Tolle; G Jump(R); B Woodruff(I); N Pivetta(I); S McClanahan(I); J Wrobleski(M)
