source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-02T18:59:55
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|T Ward; O Cruz; M Moniak; J Rodriguez; R O'Hearn(I)|N Hoerner; B Doyle(I); J Baez(M)|J Soriano; L Roupp; R Suarez; J Latz; H Brown; J Romano; J Hader; N Eovaldi; J Luzardo; C Beeter(R); M Gore(R); D Palencia(I); T Santillan(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R); B Donovan(I)|M Murakami|B Reynolds; E Ruiz; S Suzuki; R Arozarena; J Altuve(R)|S Ohtani (Batter)|K Gausman; M Fried; A Ashby; N Martinez; Y Yamamoto; K Jansen; S Manaea; E Diaz; T Bibee; C Rodon(I); C Holmes(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|J Bell|B Nimmo; B Marsh; M Dubon; G Springer|D Baldwin; J.P. Crawford(I)|G Whitlock; C Mize; A Morejon; T Skubal; J Ryan; J Misiorowski; M Boyd; C Smith; B Singer; B King(R); B Brown(I); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|J Caballero|T Soderstrom; J Duran; H Ramos; J Chourio; C Smith(R); J Marsee(R)|B Montgomery|L Gilbert; D Rasmussen; C Cavalli; N McLean; D Williams; B Garcia; J Bennett; W Warren; J Cantillo; M Meyer(I); N Lodolo(I); R Pepiot(I); S Schwellenbach(I); R Suarez(I); C Ponce(I); C Early(I); J Steele(I)
Like a Nightmare|R Jeffers|F Freeman|K Marte|M Machado|C Meidroth; B Witt(I)|B Turang|M Vargas|C Simpson; C Rafaela; L Butler; J Merrill; W Abreu(R); B Buxton(I)|J Chisholm Jr.|D Bednar; B Ashcraft; B Miller; R Sasaki; G Jax; A Nola; J Jones; R Detmers; B Baker; E Sheehan(R); Y Kikuchi(I); E Cabrera(I)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|J Wilson|L Keaschall|N Kurtz; C Encarnacion-Strand(R); E Suarez(R)|M Clark; J Adell; L Thomas; H Hernandez; A Barger(I); J Soto(I); S Jones(M)|Y Alvarez|D Cease; F Peralta; Y Gomez; I Seymour; B Pfaadt; P Lambert; M Miller; G Taylor; C Sanchez; R Snelling(I); K Harrison(I)
Maga Doge|H Goodman|R Devers|J Wetherholt|N Arenado|C.J. Abrams|C Pratt; T Story(I); Z Gelof(I); M McLain(I)|S Torkelson|J.J. Bleday; M Harris II; J Wood; J Bauers|J Hoo Lee; B Eldridge(R)|T Yesavage; C Burns; G Williams; G Soto; H Harris; M King; B Elder; T Wells; T Bradley; M McGreevy(R); R Helsley(I); G Crochet(I); R Nelson(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I); A Ramirez(M)|V Guerrero Jr.|X Edwards|N Gonzales|T Turner|C Young|J Burger|A Pages; K Tucker; J Mangum; E Valdez; B Rooker(I)|K Karros; G Stanton(I)|B Young; A Munoz; R Ray; R Iglesias; S Alcantara; B Sproat; C Scott; D Martin; S Burke; R O'Brien(R); S Drohan(R); K Bubic(I); T Glasnow(I)
Rieken Havoc|C Jensen|J Aranda|N Nunez|K Okamoto|F Lindor|X Bogaerts|J Ramirez; T Rumfield(R)|D Lile; L Robert; W Langford; C Benge; C DeLauter(R); C Bellinger(I)|K Schwarber|E Hancock; K Bradish; L Varland; H Greene; T Rogers; T Scott; J Duran; C Schlittler; Z Thornton; E Uceta(I); M Abel(I); C Estevez(I); Q Mathews(M)
Runtime Terror|D Rushing; W Smith(I)|P Alonso|T Bazzana|C Durbin|D Swanson|C Montgomery|M Busch; J Jung(I)|S Kwan; C Carroll; D Canzone; K Clemens; A Judge(I)|Y Diaz|S Cecconi; A Chapman; E Miller; D May; L Henderson; E Perez; T Melton; S Gray; W Urena; J deGrom(R); S Ohtani (Pitcher)(R); C Dollander(I); L Gil(M); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Naylor|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|W Adames|E Duran|J Walker; K Stowers; J McCarthy; T Grisham|T Hernandez; C Yelich(R); J Tibbs(M)|E Pagan; A Pallante; K Montero; G Soriano; M Wacha; C Sale; E Rodriguez; S Cruz; B Woo; J.T. Ginn(I); M Soroka(I); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|V Pasquantino(I)|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|C Keith; S Horwitz(I)|V Mesa Jr.; M Trout; P Crow-Armstrong; J Dominguez|R Acuna Jr.|T Megill; P Sewald; F Valdez; P Messick; R Blanco; S Dominguez; G Kirby; L Webb; R Weathers; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|C Emerson|E De La Cruz|I Paredes; C Condon(M)|R Greene; A.J. Ewing; C Carrigg; I Happ; R Anthony(I)|D Varsho|S McClanahan; S Imanaga; P Fairbanks; G Cole; P Skenes; P Tolle; J Webb; J Wrobleski; Z Wheeler; F Griffin(R); C Kilian(R); B Woodruff(I); B Snell(I); N Pivetta(I)
