source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-16T07:08:30
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|R Palacios|B Eldridge|J Rodriguez; J Sanoja; A Burleson; O Cruz; J Baez(R)|R O'Hearn|G Jax; H Brown; J Luzardo; A Nola; R Suarez; J Soriano; M Montgomery; J Hader; W Buehler; C Quantrill(R); N Eovaldi(I)
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|R Arozarena; J Altuve; B Reynolds; S Suzuki|J De Paula; S Ohtani (Batter)(I)|C Holmes; T Bibee; C Rodon; M Fried; K Jansen; Y Yamamoto; Y Kikuchi; N Martinez; K Gausman; A Ashby(R); E Diaz(I); J Flaherty(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; B Nimmo; M Dubon; G Springer|D Baldwin|G Whitlock; J Ryan; M Boyd; C Smith; J Misiorowski; C Mize; D Lee; A Morejon; T Skubal; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|C Smith; J Marsee; J Chourio; J Duran|C Mayo; B Montgomery(R)|J Bennett; J Hoffman; N McLean; K Senga; C Cavalli; A Uribe; L Gilbert; D Rasmussen; B Garcia; J Steele(I); M Meyer(I); C Ponce(I); C Early(I); S Schwellenbach(I); D Williams(I); R Suarez(I); R Pepiot(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|W Abreu; J Merrill; L Butler; M Moniak; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|D Smith; B Baker; R Detmers; R Johnson; J Morillo; D Bednar; J Martinez; B Joyce; B Hudson; R Sasaki(I); E Cabrera(I); S Bieber(I); B Ashcraft(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Adell; J Soto; S Jones; H Hernandez; M Clark(R); A Barger(I)|Y Alvarez|I Seymour; M Miller; P Lambert; F Peralta; G Taylor; J Jones; Y Gomez; D Cease; C Sanchez; K Harrison(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|M Harris II; H Bolte; A.J. Ewing; J Wood|T Story; J Wetherholt(I)|M King; G Williams; W Warren; J Latz; H Harris; M Gore; M McGreevy; T Bradley; T Scott; E Alvarado(R); G Crochet(I); T Yesavage(I); R Nelson(I); R Helsley(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|T Tawa; E Valdez; J Mangum; K Tucker; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|C Scott; S Burke; R Ray; B Young; A Munoz; H Wesneski; T Glasnow; R Iglesias; S Alcantara; R O'Brien(R); S Drohan(R); K Bubic(I); D Martin(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Bellinger; W Langford; C DeLauter; C Benge; D Lile(R)|K Schwarber|C Javier; Z Thornton; G Rodriguez; T Rogers; C Schlittler; J Lopez; J Duran; A Painter; Z Matthews; L Varland(R); E Hancock(I); E Uceta(I); C Estevez(I); K Bradish(I); M Abel(I); H Greene(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|C Montgomery|P Ramirez; D Swanson(I)|M Busch|A Judge; C Carroll; D Canzone; S Kwan|Y Diaz|L Henderson; A Chapman; T Mahle; W Urena; S Gray; D Kremer; T Melton; J deGrom; D May; E Perez(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|J Walker; K Stowers; J McCarthy; T Hernandez|C Yelich; T Grisham(I); J Tibbs(M)|G Graceffo; B Headrick; S Cruz; E Pagan; E Rodriguez; C Sale; R Garcia; C Patrick; M Wacha; B Woo(R); A Pallante(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; M Trout; R Acuna Jr.; V Mesa Jr.; L Robert(I)|V Pasquantino|L Webb; S Lugo; T Megill; G Kirby; P Messick; F Valdez; M Perez; N Cameron; S Arrighetti; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; W Castro(I); C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|R Greene; R Anthony; I Happ; C Carrigg; W Jenkins(R)|T Rumfield|M Soroka; K Montero; P Tolle; P Skenes; J Webb; B Snell; Z Wheeler; F Griffin; G Cole; S Imanaga(R); B Woodruff(I); S McClanahan(I)
