source: https://buecker.baseball.cbssports.com/stats/stats-main/fa:P/period-22:p/standard/projections?print_rows=9999
captured: 2026-08-22T20:24:42
---
ACTION|AVAIL|PLAYER|INNS|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|RANK
Action|Avail|Player|INNs|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|Rank
50043984|P|FA|Owen Puk P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29295962|P|FA|Michael Prosecky P • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
1953419|P|FA|Yordy Cabrera P • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29322019|P|FA|Marino Santy P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3103878|P|FA|Wyatt Strahan P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29675787|P|FA|Sam Benschoter P • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2744184|P|FA|Kyle Hooper P • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50043064|P|FA|Ryan Lobus P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837625|P|FA|Alex Valverde P • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29321896|P|FA|Lucas Braun P • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2211467|P|FA|Luis Perdomo P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2915884|P|FA|Spencer Herrmann P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2823339|P|FA|Kenny Hernandez P • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342282|P|FA|Joel Hurtado P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28840188|P|FA|Braden Zarbnisky P • PHI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837028|P|FA|Tyler Ivey P • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50044971|P|FA|Mitch White P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28837586|P|FA|Mitch Spence P • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29321888|P|FA|Aldrin Batista P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50043878|P|FA|Luis Rujano P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2932912|P|FA|Kyle Marman P • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26615403|P|FA|Christian Roa P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
1937566|P|FA|Austin Fleet P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2823785|P|FA|Janser Lara P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29350970|P|FA|Aidan Anderson P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2826713|P|FA|Jesus Zambrano P • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26635165|P|FA|Chad Smith P • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29687765|P|FA|Joe Glassey P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29190767|P|FA|Carson Spiers P • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29344257|P|FA|Braxton Roxby P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2211786|P|FA|Angel German P • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2507526|P|FA|Joan Baez P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3094397|P|FA|Manuel Rondon P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2921416|P|FA|Jake McCasland P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29084391|P|FA|Taylor Lehman P • PHI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26912479|P|FA|Juan Pinto P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29353870|P|FA|Zach Barnes P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2933042|P|FA|Angel Reyes P • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
1947821|P|FA|Matt Barnes P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28837128|P|FA|Gil Luna P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29676663|P|FA|Dakota Hawkins P • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29674813|P|FA|Kyle Amendt P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29644427|P|FA|Connor Foley P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3152733|P|FA|Caleb Baragar P • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29692136|P|FA|Xavier Meachem P • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837341|P|FA|Aaron Perry P • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29683475|P|FA|Micah Dallas P • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50042284|P|FA|Argenis Cayama P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50041091|P|FA|Tyler Schlaffer P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50043872|P|FA|LJ McDonough P • ATL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2228428|P|FA|Corey Williams P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3152114|P|FA|Tommy Henry P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2822483|P|FA|Cole Duensing P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29321882|P|FA|Patricio Aquino P • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29075507|P|FA|Cole Phillips P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29188043|P|FA|Evan Justice P • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2804236|P|FA|Lucas Benenati P • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342296|P|FA|Nathan Landry P • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342288|P|FA|Edwin Jimenez P • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26616949|P|FA|Nick Garcia P • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2836744|P|FA|Alex Cornwell P • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2211221|P|FA|Jordan Holloway P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29085574|P|FA|Austin Kitchen P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342665|P|FA|Logan Evans P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342277|P|FA|Blake Holub P • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50027255|P|FA|Austin Cates P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29683784|P|FA|Carlos Espinosa P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2823780|P|FA|Sauryn Lao P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2165523|P|FA|Trevor Gott P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26615453|P|FA|Malvin Pena P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3108246|P|FA|Jose Nin P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29106587|P|FA|Jordy Vargas P • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
1099043|P|FA|Jose Oyervidez P • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26911757|P|FA|Bradley Blalock P • MIA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29295968|P|FA|Eric Adler P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50002599|P|FA|Tyler Bremner P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2932738|P|FA|Michael Flynn P • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29322002|P|FA|Hunter Owen P • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2507334|P|FA|Garrett Davila P • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28838307|P|FA|Vincent Timpanelli P • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837077|P|FA|Will Kincanon P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2167326|P|FA|Brady Feigl P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29732674|P|FA|David Davalillo P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29351812|P|FA|Nick Fraze P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29077626|P|FA|Joe Elbis P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29321986|P|FA|Cole Miller P • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3158102|P|FA|Jhon Peluffo P • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29084179|P|FA|Blake Whitney P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26911762|P|FA|Doug Nikhazy P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2218317|P|FA|Adam Miller P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29686499|P|FA|Nick Mondak P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3158165|P|FA|Seth Martinez P • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29075744|P|FA|Nate Savino P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28838889|P|FA|Tai Tiedemann P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2739980|P|FA|Reed Garrett P • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
1758836|P|FA|Patrick Corbin P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2169273|P|FA|Jon Keller P • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50041197|P|FA|CJ Gray P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50049364|P|FA|Kevin Colmenares P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2507519|P|FA|Melvin Adon P • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2821587|P|FA|Ronel Blanco P • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3117916|P|FA|Quinn Priester P • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2223334|P|FA|Confesor Lara P • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29675453|P|FA|Zane Russell P • ARI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29295972|P|FA|Jack Mahoney P • COL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50044537|P|FA|Jacob Wosinski P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29088541|P|FA|Ryan Middendorf P • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
288900|P|FA|Johnny Cueto P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342332|P|FA|Miguel Rodriguez P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2804726|P|FA|Wander Perez P • PHI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29445812|P|FA|Steven Zobac P • KC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28841191|P|FA|Joey Marciano P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2048494|P|FA|Yimi Garcia P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837579|P|FA|Beau Sulser P • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2804934|P|FA|Alex Katz P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2798063|P|FA|Trey Wingenter P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2170149|P|FA|Ben Klimesh P • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29084571|P|FA|Dalton Stambaugh P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29077341|P|FA|Elmer Rodriguez P • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2117048|P|FA|Ben Lively P • CLE|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29086246|P|FA|Nolan Clenney P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2825562|P|FA|Yerry Rodriguez P • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837196|P|FA|Kade McClure P • PIT|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2120124|P|FA|Richard Bleier P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2915883|P|FA|Bryan Bonnell P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2226049|P|FA|Jose Alberto Molina P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2830141|P|FA|Leonardo Taveras P • STL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29085280|P|FA|Evan Gates P • PHI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2117138|P|FA|Santiago Garrido P • DET|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29424566|P|FA|Gary Gill Hill P • NYM|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2915892|P|FA|Michael Koval P • SEA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29344192|P|FA|Ryan Hennen P • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29092532|P|FA|Conor Larkin P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50044493|P|FA|Trent Buchanan P • ATL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2228476|P|FA|Andres Avila P • ATH|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
28840614|P|FA|Andrew Schultz P • PHI|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29678299|P|FA|Hunter Gregory P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26681456|P|FA|Mitchell Parker P • WAS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50041326|P|FA|Matt Barr P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29077595|P|FA|Dahian Santos P • TOR|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
26911787|P|FA|Drew Parrish P • CIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2846712|P|FA|Matthew Hardy P • MIL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
1098908|P|FA|Jesse Chavez P • ATL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50042266|P|FA|Lan-Hong Su P • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2167352|P|FA|Miguel Diaz P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
50044475|P|FA|Ryan Vanderhei P • SF|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342311|P|FA|Jordan Mikel P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29087589|P|FA|Baron Stuart P • NYY|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3094396|P|FA|Hunter Smith P • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29342326|P|FA|Chase Plymell P • CHW|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3104014|P|FA|Blake Bass P • TEX|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29683328|P|FA|Christian Suarez P • LAD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2837316|P|FA|Glenn Otto P • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29075515|P|FA|David Festa P • MIN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2836843|P|FA|Blayne Enlow P • ATL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2167490|P|FA|Zech Lemond P • SD|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29644490|P|FA|Kyle Robinson P • LAA|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29675768|P|FA|Peter Van Loon P • BAL|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
29090987|P|FA|Mitchell Tyranski P • CHC|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
3152777|P|FA|Justin Ferrell P • HOU|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
2224835|P|FA|Jorge Marban P • BOS|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00|0.00|9999
