source: https://buecker.baseball.cbssports.com/stats/stats-main/fa:P/period-22:p/standard/projections?print_rows=9999
captured: 2026-08-22T20:24:42
---
ACTION|AVAIL|PLAYER|INNS|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|RANK
Action|Avail|Player|INNs|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|Rank
26911747|P|FA|Dylan Dodd P • ATL|2.1|2.0|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.6|2.3|0.6|1.5|2.56|0.90|195
2135258|P|FA|Luke Weaver P • PIT|2.2|2.6|0.0|0.0|0.0|0.1|0.0|0.1|0.0|1.0|3.1|0.8|1.8|3.02|0.99|196
2826541|P|FA|Jacob Waguespack P • DET|3.0|2.2|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|2.0|1.2|1.8|2.24|1.00|198
29644531|P|FA|Ethan Pecko P • HOU|5.0|1.0|1.0|0.4|0.0|0.3|0.3|0.0|0.0|0.0|5.1|2.0|5.0|4.12|1.39|200
29075736|P|FA|Mason Barnett P • ATH|5.1|1.0|1.0|0.2|0.0|0.2|0.3|0.0|0.0|0.0|4.6|1.7|4.8|4.09|1.21|207
29330453|P|FA|A.J. Blubaugh P • HOU|2.2|1.6|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.3|2.7|1.1|1.9|3.10|1.13|208
2733997|P|FA|Garrett Cleavinger P • TB|2.1|2.6|0.0|0.0|0.0|0.2|0.1|0.1|0.0|1.2|2.8|0.9|1.7|3.11|1.12|209
2228194|P|FA|Jose Urquidy P • CHW|5.2|1.0|1.0|0.4|0.0|0.2|0.3|0.0|0.0|0.0|5.2|2.2|5.1|4.18|1.29|210
2135253|P|FA|Grant Holmes P • ATL|5.1|1.0|1.0|0.4|0.0|0.2|0.3|0.0|0.0|0.0|4.8|2.1|4.5|4.17|1.23|211
2167292|P|FA|Steven Okert P • HOU|2.0|2.3|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.6|2.3|0.5|1.5|2.75|1.00|212
3157976|P|FA|Julian Garcia P • CIN|2.1|1.9|0.0|0.0|0.0|0.2|0.2|0.0|0.0|0.2|2.4|1.1|1.3|2.93|1.00|213
