source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-08-22T20:24:13
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|B Stott|A Burleson|J Baez; M Moniak; J Rodriguez; O Cruz; R O'Hearn(I)|N Hoerner|J Luzardo; A Nola; M Gore; H Brown; J Soriano; R Suarez; J Hader; M Montgomery; J Latz; C Beeter(R); J Romano(R); T Santillan(I); N Eovaldi(I); D Palencia(I)
Dawg|D Dingler|W Contreras|F Tatis Jr.|R Lewis|J Pena|C Seager; M Semien(R)|M Murakami|S Suzuki; J Altuve; B Reynolds; R Arozarena|S Ohtani (Batter)|S Manaea; C Holmes; T Bibee; K Jansen; C Rodon; A Ashby; N Martinez; B Joyce; Y Yamamoto; K Gausman(R); M Fried(I); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|B Nimmo; M Dubon; J Hoo Lee; G Springer|D Baldwin; J.P. Crawford(I)|T Skubal; B Singer; J Misiorowski; C Mize; C Smith; D Lee; M Boyd; S Baz; A Morejon; J Ryan(I); B Brown(I); J Leiter(I); G Whitlock(I); B King(M); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci|M Muncy|G Henderson|Z Neto|A Bohm; J Caballero(R); T Soderstrom(I)|H Ramos; J Chourio; J Duran; C Smith; J Marsee(R)|B Montgomery|B Garcia; N McLean; C Cavalli; D Rasmussen; J Hoffman; W Warren; L Gilbert; N Lodolo; J Bennett; C Early(I); J Steele(I); D Williams(I); A Uribe(I); S Schwellenbach(I); M Meyer(I); R Suarez(I); R Pepiot(I); C Ponce(I)
Like a Nightmare|R Jeffers|F Freeman|B Turang|M Machado|B Witt|J Chisholm Jr.|M Vargas|J Merrill; W Abreu; C Rafaela; B Buxton; C Simpson(R)|L Butler; K Marte(I)|B Ashcraft; B Baker; R Detmers; M Kelly; M Liberatore; B Miller; R Sasaki; D Bednar; E Lauer; E Cabrera(I); Y Kikuchi(I); E Sheehan(M)
Long Balls|L Hicks; A Rutschman(I)|T France|O Albies|S Stewart; J Lawlar(I)|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|M Clark; J Adell; H Hernandez; S Jones; J Soto(I); A Barger(I)|Y Alvarez|I Seymour; B Pfaadt; J Jobe; C Sanchez; Y Gomez; G Taylor; M Miller; K Harrison; D Cease; P Lambert(R); F Peralta(R); R Snelling(I)
Maga Doge|A Kirk; H Goodman(I)|R Devers|J Wetherholt|Z Gelof|C.J. Abrams|X Bogaerts; T Story(I); C Pratt(I)|N Arenado; S Torkelson(R)|J.J. Bleday; B Marsh; M Harris II; J Bauers; J Wood(I)|M McLain|T Wells; C Burns; G Williams; K Leahy; T Bradley; B Elder; M King; T Scott; H Harris; M McGreevy(R); R Helsley(I); R Nelson(I); G Crochet(I); T Yesavage(I); K Anderson(M)
Magnum GI|F Alvarez; S Basallo(I)|R Flores; V Guerrero Jr.(I)|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; E Valdez; K Tucker; A Pages; B Rooker(I)|T Tawa; K Karros(I); G Stanton(I)|S Drohan; M Bratt; A Munoz; C Scott; R Iglesias; S Burke; S Alcantara; R Ray; B Young; H Wesneski(R); R O'Brien(R); D Martin(I); T Glasnow(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres; N Nunez(R)|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|H Bolte; D Lile; W Langford; C Benge; C DeLauter(R); C Bellinger(I)|K Schwarber|T Rogers; L Varland; Z Thornton; E Hancock; C Schlittler; A Abbott; K Bradish; Q Mathews; J Duran; C Estevez(I); M Abel(I); H Greene(I); E Uceta(I)
Runtime Terror|A Wells; W Smith(I); D Rushing(I)|P Alonso|T Bazzana|C Durbin|C Montgomery|K Clemens; D Swanson(I)|M Busch; J Jung(I)|C Carroll; D Canzone; S Kwan; G Conine; A Judge(I)|Y Diaz|E Perez; E Miller; T Mahle; S Gray; T Melton; D May; A Chapman; W Urena; L Henderson; J deGrom(R); C Dollander(I); L Gil(M); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; C Mead(I); M Garcia(I)|B Rocchio|E Duran|J Naylor|J Walker; J McCarthy; T Hernandez; T Grisham; K Stowers(I)|C Yelich; W Adames(R); J Tibbs(M)|M Wacha; S Cruz; K Montero; E Rodriguez; E Pagan; J.T. Ginn; M Soroka; A Pallante; C Sale; B Woo(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|T Edman; K Griffin(I)|A Ortiz; C Keith(R)|L Robert; R Acuna Jr.; M Trout; P Crow-Armstrong; V Mesa Jr.(R); J Dominguez(M)|V Pasquantino|L Webb; N Cameron; R Weathers; T Megill; C Prielipp; G Kirby; S Natera Jr.; P Messick; F Valdez; S Lugo(R); S Strider(I)
Young Guns|B Rice|M Olson|O Lopez; C Schmitt(I)|A Riley|W Castro; C Emerson(I)|E De La Cruz|I Paredes; C Condon(M)|Z Veen; A.J. Ewing; C Carrigg; I Happ; R Greene(I); R Anthony(I)|D Varsho|J Webb; Z Wheeler; P Skenes; G Cole; P Tolle; B Snell; F Griffin; S Imanaga; P Fairbanks; G Jump(R); N Pivetta(I); S McClanahan(I); B Woodruff(I); J Wrobleski(M)
