source: https://buecker.baseball.cbssports.com/teams/roster-grid
captured: 2026-09-14T08:57:59
---
TEAM|C|1B|2B|3B|SS|MI|CI|OF|U|P
Big Sticks|S Perez|B Harper|B Lowe|J Caminero|G Perdomo|R Palacios|B Eldridge|A Burleson; J Sanoja; J Rodriguez; O Cruz; J Baez(R)|R O'Hearn|J Soriano; A Nola; J Hader; R Suarez; G Jax; H Brown; J Luzardo; M Montgomery; W Buehler; C Quantrill(R); N Eovaldi(I)
Dawg|D Dingler|M Murakami|F Tatis Jr.|H Yu Lee; R Lewis(R)|J Pena|C Seager|W Contreras|J Altuve; R Arozarena; B Reynolds; S Suzuki|J De Paula; S Ohtani (Batter)(R)|K Jansen; M Fried; A Ashby; N Martinez; Y Yamamoto; T Bibee; C Holmes; Y Kikuchi; C Rodon; K Gausman(R); J Flaherty(I); E Diaz(I)
Gashouse Gang|W Contreras|C Walker|L Garcia|A Bregman|B Bichette|K McGonigle|L Arraez|J Hoo Lee; G Springer; M Dubon; B Nimmo|D Baldwin|D Lee; G Whitlock; C Smith; T Skubal; J Ryan; J Misiorowski; C Mize; A Morejon; M Boyd; S Baz(R); J Leiter(I); S Smith(M)
Guillotine|G Moreno|J Caglianone|S Antonacci; J Caballero(R)|M Muncy|G Henderson|Z Neto|A Bohm; T Soderstrom(I)|J Marsee; J Chourio; J Duran; C Smith; H Ramos(R)|B Montgomery|N McLean; C Cavalli; A Uribe; K Senga; L Gilbert; B Garcia; J Hoffman; D Rasmussen; J Bennett; R Pepiot(I); R Suarez(I); S Schwellenbach(I); C Early(I); C Ponce(I); D Williams(I); J Steele(I); M Meyer(I)
Like a Nightmare|R Jeffers|S Torkelson; F Freeman(R)|B Turang|M Machado|B Witt|K Marte; J Chisholm Jr.(I)|M Vargas|J Merrill; W Abreu; L Butler; M Moniak; C Simpson(R); C Rafaela(I)|N Arenado; B Buxton(I)|B Baker; B Ober; D Bednar; Q Mathews; D Anderson; R Detmers; L Roupp; R Johnson; K Anderson; E Cabrera(I); S Bieber(I); B Ashcraft(I); R Sasaki(I); E Sheehan(M)
Long Balls|L Hicks|T France|O Albies|S Stewart|K Culpepper|L Keaschall|E Suarez; N Kurtz(I)|J Soto; J Adell; S Jones; H Hernandez; M Clark(R); A Barger(I)|Y Alvarez|P Lambert; M Miller; Y Gomez; C Sanchez; I Seymour; K Harrison; F Peralta; G Taylor; D Cease; J Jones(R); R Snelling(I)
Maga Doge|H Goodman|J Bauers|M McLain|Z Gelof|C.J. Abrams|C Pratt|C Durbin|M Harris II; A.J. Ewing; J Wood; H Bolte|T Story; J Wetherholt(I)|C Burnes; T Bradley; M King; M McGreevy; G Williams; W Warren; T Scott; H Harris; J Latz; E Alvarado(R); R Helsley(I); R Nelson(I); T Yesavage(I); G Crochet(I)
Magnum GI|S Basallo|R Flores|X Edwards|N Gonzales|T Turner|C Young|J Burger|J Mangum; K Tucker; T Tawa; E Valdez; B Rooker(I)|V Guerrero Jr.; A Pages(R); G Stanton(I); K Karros(I)|A Munoz; B Young; S Burke; H Wesneski; C Scott; T Glasnow; R Ray; R Iglesias; S Alcantara; S Drohan(R); R O'Brien(R); D Martin(I); K Bubic(I); B Sproat(M)
Rieken Havoc|C Jensen|J Aranda|G Torres|J Ramirez|F Lindor|G Lombard Jr.|K Okamoto|C Bellinger; D Lile; C DeLauter; W Langford; C Benge(R)|K Schwarber|K Bradish; J Duran; L Varland; J Lopez; A Painter; Z Matthews; C Schlittler; T Rogers; G Rodriguez; Z Thornton(R); H Greene(I); M Abel(I); C Estevez(I); E Hancock(I); E Uceta(I)
Runtime Terror|W Smith|P Alonso|K Clemens|J Jung|C Montgomery|P Ramirez; D Swanson(I)|M Busch|S Kwan; D Canzone; A Judge; C Carroll|Y Diaz|T Mahle; A Chapman; W Urena; T Melton; D May; J deGrom; S Gray; L Henderson; E Perez; L Gil(R); C Dollander(I); R Ryan(M)
Simba's Dublin Green Sox|C Raleigh|J Bell|A Martinez|B Lee; M Garcia(I); C Mead(I)|B Rocchio|E Duran|J Naylor|K Stowers; T Hernandez; J McCarthy; J Walker|C Yelich; T Grisham(I); J Tibbs(M)|C Patrick; G Graceffo; E Pagan; B Headrick; S Cruz; E Rodriguez; M Wacha; C Sale; R Garcia; A Pallante(R); B Woo(R); J Musgrove(I)
Trex|I Herrera; S Langeliers(I)|S Horwitz|J Holliday|E Clement; M Chapman(I)|M Betts|K Griffin; T Edman(R)|A Ortiz|P Crow-Armstrong; M Trout; R Acuna Jr.; V Mesa Jr.; L Robert(I)|V Pasquantino|L Webb; S Arrighetti; M Perez; G Kirby; S Lugo; P Messick; F Valdez; T Megill; N Cameron; S Ohtani (Pitcher)(R); R Weathers(I); S Strider(I)
Young Guns|B Rice|M Olson|T Bazzana; C Schmitt(I)|A Riley|O Lopez; C Emerson(I); W Castro(I)|E De La Cruz|I Paredes; C Condon(M)|R Greene; C Carrigg; R Anthony; I Happ; W Jenkins(R)|T Rumfield|Z Wheeler; P Fairbanks; B Snell; P Tolle; G Cole; J Webb; P Skenes; N Pivetta; F Griffin; S Imanaga(R); S McClanahan(I); B Woodruff(I)
